variant,task_id,task_seed,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,crossings,total_volume_ml,final_abs_error,controller_ms_per_step,benchmark_seed
full,16,5000101,base,medium,2,1,0,0,9,5,14.43,0.05456002185270492,66.61151111216492,101
no_ph_rate_bonus,16,5000101,base,medium,2,1,1,0,6,5,7.1899999999999995,0.0012961512321467694,71.34309999916393,101
no_uncertainty_factor,16,5000101,base,medium,2,1,1,0,9,6,15.42,0.023456299795917346,62.25641111086588,101
no_buffering_factor,16,5000101,base,medium,2,1,0,0,11,7,15.07,0.05454691477356022,74.05752727473472,101
no_required_volume_term,16,5000101,base,medium,2,1,1,0,8,6,8.57,0.04679683582314098,67.73727499876259,101
linear_clip_instead_of_tanh,16,5000101,base,medium,2,1,0,0,9,7,15.759999999999998,0.08363860786124633,84.48654444348196,101
full,17,5000101,acid,medium,2,1,0,0,3,1,4.970000000000001,0.05896494491568571,28.8721666681037,101
no_ph_rate_bonus,17,5000101,acid,medium,2,1,1,0,1,0,2.87,0.048881252114709284,55.69829999876674,101
no_uncertainty_factor,17,5000101,acid,medium,2,1,0,0,3,1,5.709999999999999,0.07196453592338514,37.08536666817963,101
no_buffering_factor,17,5000101,acid,medium,2,1,0,0,3,1,5.07,0.06334446152094397,43.37733333280388,101
no_required_volume_term,17,5000101,acid,medium,2,1,0,0,3,0,2.86,0.05118770332475009,60.16773333249148,101
linear_clip_instead_of_tanh,17,5000101,acid,medium,2,1,0,0,3,1,5.41,0.0807881837043487,43.61639999842737,101
full,18,5000101,base,near,3,1,0,0,4,2,2.33,0.06423111000280457,38.79535000123724,101
no_ph_rate_bonus,18,5000101,base,near,3,1,1,0,4,4,1.61,0.01206553258319687,35.51850000076229,101
no_uncertainty_factor,18,5000101,base,near,3,1,1,0,6,3,3.4999999999999996,0.0017866018107817183,52.11291666394876,101
no_buffering_factor,18,5000101,base,near,3,1,0,0,4,2,2.51,0.08846059856498201,36.82459999799903,101
no_required_volume_term,18,5000101,base,near,3,1,0,0,4,2,2.33,0.06423111000280457,45.203575000414276,101
linear_clip_instead_of_tanh,18,5000101,base,near,3,1,0,0,4,2,2.4,0.07648604063150799,42.000575000201934,101
full,19,5000101,base,medium,2,0,0,0,50,44,11.359999999999992,0.36109698046557703,70.8891059999587,101
no_ph_rate_bonus,19,5000101,base,medium,2,0,0,0,50,47,7.809999999999992,0.23618291910109512,69.43872200004989,101
no_uncertainty_factor,19,5000101,base,medium,2,0,0,0,50,46,12.419999999999993,0.36194109628086046,71.20406400150387,101
no_buffering_factor,19,5000101,base,medium,2,0,0,0,50,44,11.59999999999999,0.36128852114676313,67.2886440010916,101
no_required_volume_term,19,5000101,base,medium,2,0,0,0,50,47,10.069999999999991,0.21811129728085454,74.93146800043178,101
linear_clip_instead_of_tanh,19,5000101,base,medium,2,0,0,0,50,44,12.13999999999999,0.3617185875317066,71.80217599918251,101
