method,repeat,order_position,benchmark_seed,task_seed,task_id,pka_values,analyte_conc_m,initial_volume_ml,initial_base_moles,before_ph,observed_ph,target_ph,reagent,previous_volume_ml,wall_ns,process_cpu_ns
ppo,1,75,202,1000202,1895,"(8.294137692732424,)",0.04898096618864941,11.036447272683242,0.0004894840276974075,9.27,9.28,11.088,base,0.01,268200,0
ppo,1,76,101,1000101,1,"(2.1059946171523567, 4.504856522440828, 6.184351113696277)",0.11649832513779042,13.554845491034163,0.004152384241521839,6.43,6.43,6.221,acid,0.01,184200,0
ppo,1,77,555,1000555,1106,"(3.234835217047939, 5.15344209472382, 7.533784525309686)",0.08117641340365304,12.796604330989595,0.001903245339883949,5.8,5.8,9.685,base,0.01,157300,0
ppo,1,78,404,1000404,948,"(8.143713211437404,)",0.052189610498750975,12.84448428669959,0.0005356750131392309,8.74,8.74,8.245,acid,0.01,151900,0
ppo,1,79,202,1000202,2053,"(4.172075548798355, 6.002726100781113)",0.09881930845066905,8.420128724466338,7.269696138586925e-05,3.19,3.19,5.657,base,0.01,152800,0
ppo,1,80,404,1000404,475,"(7.0532891033962635,)",0.03610871352438308,8.266146082569833,0.00021609848978702714,7.47,7.46,3.758,acid,0.01,148500,0
ppo,1,81,303,1000303,1737,"(6.025223270877795,)",0.0993853847376421,13.533353699768277,0.0005226043784485962,5.83,5.83,6.357,base,0.01,166800,0
ppo,1,82,303,1000303,2684,"(7.141599055994737,)",0.03015383274118093,10.410293165546515,0.0002817985594706421,8.09,8.07,7.098,acid,0.01,167300,0
ppo,1,83,202,1000202,1264,"(6.666718922988816,)",0.03296298518866934,13.527246885306283,3.749406398763317e-05,5.63,5.64,9.358,base,0.01,151700,0
ppo,1,84,202,1000202,2369,"(2.4423917511452125, 3.518780600603069)",0.040198724094169073,11.480038094713981,1.3881394844385628e-05,2.0,2.0,1.653,acid,0.01,152300,0
ppo,1,85,404,1000404,2211,"(3.2487248009003142, 5.503878634857892)",0.11588613564644365,10.217816075558144,0.0006913363960128713,3.39,3.39,2.345,acid,0.01,153500,0
ppo,1,86,404,1000404,159,"(3.536648763785167, 4.709375632208243, 6.962591706232237)",0.04682338608637076,9.41628276141725,0.00047098942663055526,4.21,4.21,1.901,acid,0.01,151000,0
ppo,1,87,555,1000555,2053,"(8.134988366579552,)",0.06630416732289862,11.5664200045983,0.0006389438799811766,8.83,8.83,5.15,acid,0.01,149800,0
ppo,1,88,303,1000303,1579,"(3.023700002659643, 5.496356601857867, 7.173021321546826)",0.09742946790394946,9.029887041086187,0.0007444121644707095,3.72,3.72,5.532,base,0.01,148000,0
ppo,1,89,555,1000555,159,"(8.40993120933652,)",0.03610210775557044,8.392088314403704,6.957248674702552e-05,7.88,7.89,8.572,base,0.01,147000,0
ppo,1,90,303,1000303,2211,"(5.494096384703395,)",0.11266561473090311,10.530752970850433,0.0010162936960802307,6.27,6.27,4.433,acid,0.01,150100,0
ppo,1,91,202,1000202,3000,"(3.516921980298913, 4.881382104830975, 6.556513244311883)",0.05089151572213394,9.935507188564545,0.0004851036119057585,4.14,4.14,5.711,base,0.01,150500,0
ppo,1,92,555,1000555,790,"(3.600770758365568, 5.202969474541008, 7.375809888381689)",0.03368647836407902,11.347559976079218,0.0005854789724234237,5.27,5.27,4.065,acid,0.01,150700,0
ppo,1,93,303,1000303,948,"(4.587877524732907,)",0.12462626634182608,9.457628686630455,0.0006537543957574663,4.68,4.68,4.093,acid,0.01,171500,0
ppo,1,94,303,1000303,1,"(4.596302638125189, 5.947563582392657)",0.1429192300966741,12.047765542218073,0.00045300028835051876,4.14,4.13,3.816,acid,0.01,160600,0
ppo,1,95,101,1000101,1106,"(2.9799681877815183, 4.82130155104622)",0.04828925213947402,8.503632160834046,0.00044726042324754443,4.1,4.11,6.054,base,0.01,149800,0
ppo,1,96,202,1000202,632,"(3.5755007148831273, 4.744350447133897, 6.470852047646433)",0.0386970911654942,8.683828066900835,0.00016104852804207882,3.49,3.49,5.556,base,0.01,147700,0
ppo,1,97,101,1000101,1579,"(3.166487077879048, 4.800278228905183, 6.3119548571414175)",0.08625331092919482,8.91405839161712,0.000512443544857714,3.41,3.41,7.003,base,0.01,149500,0
ppo,1,98,101,1000101,2369,"(2.06187472910514, 3.8452502510669193, 5.746778196617397)",0.09197502821092951,10.343272234941244,0.000595846275857656,2.33,2.33,2.572,base,0.01,148400,0
ppo,1,99,555,1000555,2842,"(3.7024254408126542,)",0.04760547466257951,12.87911831157141,0.0005082561251227179,4.39,4.39,3.18,acid,0.01,155900,0
ppo,1,100,555,1000555,3000,"(4.781671191141371, 5.706125499007993)",0.10827730596952383,8.357843689441026,0.00020899065535324207,4.23,4.23,2.343,acid,0.01,149400,0
