method,method_label,training_seed,evaluation_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
ppo_from_pf_imitation,PPO from PF imitation,303,901,3000,92.16666666666666,44.2,3.1,1.7333333333333332,5.671971066907775,8.324,3.4923333333333333,8.55236,0.10913313576378186
ppo_from_pf_imitation,PPO from PF imitation,303,902,3000,93.43333333333334,43.666666666666664,2.566666666666667,1.5666666666666667,5.776667855868712,7.97,3.3353333333333333,8.341546666666666,0.09900225738747241
ppo_from_pf_imitation,PPO from PF imitation,303,903,3000,92.60000000000001,43.3,2.7333333333333334,1.866666666666667,5.626709863210943,8.046333333333333,3.468,8.79069,0.10096450293468132
ppo_from_pf_imitation,PPO from PF imitation,303,904,3000,92.06666666666666,41.53333333333333,2.833333333333333,1.7000000000000002,5.617668356263577,8.309,3.482,8.43956,0.10361379359213958
ppo_from_pf_imitation,PPO from PF imitation,303,905,3000,93.13333333333334,41.4,3.1,0.8999999999999999,5.653901216893343,8.153333333333334,3.3796666666666666,8.555193333333333,0.1104327173224466
random_actor_untrained,Untrained random actor,303,901,3000,49.766666666666666,25.433333333333337,39.800000000000004,0.36666666666666664,4.529805760214334,7.348333333333334,4.894333333333333,34.98173666666666,1.0833106796253982
random_actor_untrained,Untrained random actor,303,902,3000,47.16666666666667,24.933333333333334,41.53333333333333,0.5666666666666667,4.437455830388693,7.3533333333333335,4.898333333333333,35.41139,1.110791932319051
random_actor_untrained,Untrained random actor,303,903,3000,49.36666666666667,24.933333333333334,39.46666666666667,0.4333333333333333,4.569209993247806,7.325,4.821,35.06771333333333,1.0470955314959234
random_actor_untrained,Untrained random actor,303,904,3000,48.266666666666666,25.333333333333336,40.56666666666667,0.8999999999999999,4.551795580110498,7.291,4.9013333333333335,35.19367,1.117618868171853
random_actor_untrained,Untrained random actor,303,905,3000,47.9,23.3,40.2,0.6666666666666667,4.67223382045929,7.426666666666667,4.968333333333334,35.69381,1.1044292093821806
ppo_from_random,PPO from random actor,303,901,3000,70.13333333333334,28.499999999999996,17.833333333333336,1.1666666666666667,13.173954372623575,20.624333333333333,8.112,18.849133333333334,0.4175522106100225
