method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_ppo,close_pka,close_pka,3000202,14,base,far,overlapping,2,0,0,0,0,0,50,29,19.520000000000017,6.8524079271223854,6.85,0.239407927122385,6.9115999940549955,1.0678999678930268,0.15958999923896044,max_steps,202
new_pf,close_pka,close_pka,3000202,15,base,medium,overlapping,3,1,0,0,1,0,4,0,14.629999999999999,3.6732667078950607,3.67,0.06773329210493939,63.544199998432305,95.86739999940619,39.85289999945962,measured_success,202
new_ppo,close_pka,close_pka,3000202,15,base,medium,overlapping,3,1,1,0,1,0,7,2,15.59,3.7149393295590114,3.71,0.026060670440988698,0.6637999904341996,0.11819999781437218,0.11171428403551024,measured_success,202
new_pf,close_pka,close_pka,3000202,16,base,far,overlapping,2,1,0,0,1,0,11,7,18.459999999999997,7.117298881777359,7.12,0.06229888177735887,530.7933999938541,290.82040000503184,74.69216363626236,measured_success,202
new_ppo,close_pka,close_pka,3000202,16,base,far,overlapping,2,1,0,0,1,0,34,12,34.44,7.002160874433812,7.0,0.052839125566187306,3.589300024032127,0.6270999947446398,0.1240117652581402,measured_success,202
new_pf,close_pka,close_pka,3000202,17,acid,medium,overlapping,2,1,1,0,1,0,5,0,11.72,2.5371684001459576,2.54,0.04616840014595747,129.75560000631958,115.2018000066164,48.991480002587195,measured_success,202
new_ppo,close_pka,close_pka,3000202,17,acid,medium,overlapping,2,1,1,0,1,0,4,0,11.75,2.5321069660848625,2.53,0.04110696608486242,0.4628000169759616,0.08449999586446211,0.13682500321010593,measured_success,202
new_pf,close_pka,close_pka,3000202,18,base,near,overlapping,2,0,0,0,1,1,2,0,0.91,2.0869584282038964,2.09,0.10104157179610374,9.803199995076284,56.7968999966979,33.30004999588709,measured_success,202
new_ppo,close_pka,close_pka,3000202,18,base,near,overlapping,2,1,1,0,1,0,1,0,1.67,2.1665703084121635,2.17,0.021429691587836697,0.11869999434566125,0.014800003555137664,0.13349999790079892,measured_success,202
new_pf,close_pka,close_pka,3000202,19,base,near,single,1,1,0,0,1,0,3,0,2.8000000000000003,2.346547773200622,2.35,0.07145222679937824,50.53030000271974,53.15679999330314,34.56236666534096,measured_success,202
new_ppo,close_pka,close_pka,3000202,19,base,near,single,1,1,0,0,1,0,2,0,2.7199999999999998,2.3308544210763644,2.33,0.08714557892363572,0.261799999861978,0.03239999205106869,0.14709999595652334,measured_success,202
new_pf,close_pka,close_pka,3000202,20,acid,medium,single,1,1,0,0,1,0,2,1,4.45,6.903350228702335,6.9,0.06064977129766547,49.55669999617385,57.0988000035868,53.327749999880325,measured_success,202
new_ppo,close_pka,close_pka,3000202,20,acid,medium,single,1,1,1,0,1,0,3,2,3.21,6.987041939487893,6.99,0.023041939487892904,0.5625000048894435,0.07860000187065452,0.21370000225336602,measured_success,202
new_pf,close_pka,close_pka,3000202,21,base,far,overlapping,2,0,0,0,0,0,50,44,17.05000000000005,6.409886112693698,6.41,0.10711388730630222,1567.8941000223858,1054.5100000163075,52.448082000773866,max_steps,202
