mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
3,pHBA + SSA,0,1.5,2.895,3.7830658208532286,1.4052753648510605,7.889913030209382
3,pHBA + SSA,0,1.52,2.92,3.7899591517571576,1.4067346884191956,7.896398594540489
3,pHBA + SSA,0,1.54,2.9450000000000003,3.796861844655358,1.4081936011273655,7.902810203080088
3,pHBA + SSA,0,1.56,2.97,3.803778290674455,1.4096521075797437,7.909149800629777
3,pHBA + SSA,0,1.58,2.995,3.8107132705027116,1.411110212376236,7.915419257845759
3,pHBA + SSA,0,1.6,3.02,3.8176720392569052,1.4125679201125627,7.931018827766939
3,pHBA + SSA,0,1.62,3.045,3.8246604350896236,1.4140252353803433,7.960829553871394
3,pHBA + SSA,0,1.6400000000000001,3.0700000000000003,3.8316850209353395,1.4154821627671779,7.984769889786701
3,pHBA + SSA,0,1.6600000000000001,3.095,3.8387532736762293,1.416938706856731,7.994296310338232
3,pHBA + SSA,0,1.68,3.12,3.84587384315979,1.4183948722288138,8.003801918114625
3,pHBA + SSA,0,1.7,3.145,3.8530569177020597,1.4198506634594659,8.013289050481589
3,pHBA + SSA,0,1.72,3.17,3.8603147587548707,1.4213060851210346,8.022760018059323
3,pHBA + SSA,0,1.74,3.1950000000000003,3.8676625181955977,1.4227611417822588,8.032217108189577
3,pHBA + SSA,0,1.76,3.2199999999999998,3.8751195583847444,1.4242158380083465,8.041662588318157
3,pHBA + SSA,0,1.78,3.245,3.8827117410486944,1.425670178361056,8.051098709305723
3,pHBA + SSA,0,1.8,3.27,3.8904757900448304,1.4271241673987753,8.08955856478234
3,pHBA + SSA,0,1.82,3.295,3.8984687943244443,1.4285778096766006,8.094134838257773
3,pHBA + SSA,0,1.84,3.3200000000000003,3.906793708196112,1.4300311097464151,8.098661896298786
3,pHBA + SSA,0,1.86,3.345,3.9157008912253253,1.4314840721569673,8.103140846513298
3,pHBA + SSA,0,1.8800000000000001,3.37,3.930013411820029,1.4329367014539476,8.224485195854413
3,pHBA + SSA,0,1.9000000000000001,3.3950000000000005,3.949403385222656,1.4343811226719465,8.370734808907564
3,pHBA + SSA,0,1.92,3.42,3.960202617578682,1.4357861421028661,8.37693965533849
3,pHBA + SSA,0,1.94,3.445,3.972025893944395,1.4371905147518889,8.407930629600703
3,pHBA + SSA,0,1.96,3.4699999999999998,3.992611596308327,1.438594243828185,8.47036458102017
3,pHBA + SSA,0,1.98,3.495,4.005919590315085,1.4399973325334918,8.495518164399257
3,pHBA + SSA,0,2.0,3.52,4.020949128157712,1.441399784062165,8.521184602536788
3,pHBA + SSA,0,2.02,3.5418,4.04088587541592,1.442801601601229,8.565935320789812
3,pHBA + SSA,0,2.04,3.5636,4.058914315155705,1.4442027883304296,8.615257623583577
3,pHBA + SSA,0,2.06,3.5854,4.075989127062197,1.4456033474222845,8.811518658593965
3,pHBA + SSA,0,2.08,3.6072,4.0934386613191815,1.447003282042135,9.076778811464276
3,pHBA + SSA,0,2.1,3.629,4.104496021837248,1.4484025953481958,9.113046122833417
3,pHBA + SSA,0,2.12,3.6508000000000003,4.119257175008468,1.4498012904916049,9.204839182485859
3,pHBA + SSA,0,2.14,3.6726,4.129399640942215,1.451199370616473,9.248113549633107
3,pHBA + SSA,0,2.16,3.6944000000000004,4.139322976353118,1.4525968388599342,9.263317121797908
3,pHBA + SSA,0,2.18,3.7162,4.149412351222243,1.4539936983521908,9.27562102096153
3,pHBA + SSA,0,2.2,3.7380000000000004,4.168326499261957,1.4553899522165676,9.326842264415685
3,pHBA + SSA,0,2.22,3.7598000000000003,4.180446550452815,1.4567856035695543,9.837892146242002
3,pHBA + SSA,0,2.24,3.7816000000000005,4.196794609279206,1.4581806555208554,10.06297694393253
3,pHBA + SSA,0,2.2600000000000002,3.8034000000000003,4.210176432617754,1.4595751111734385,10.374925075428362
3,pHBA + SSA,0,2.2800000000000002,3.8252000000000006,4.225963461320088,1.460968973623578,10.587192764449512
3,pHBA + SSA,0,2.3000000000000003,3.8470000000000004,4.236164197872814,1.4623622459609038,10.741724807728062
3,pHBA + SSA,0,2.32,3.8688,4.246260282836036,1.463754931268447,10.859129088501799
3,pHBA + SSA,0,2.34,3.8906,4.257822182860228,1.465147032622684,10.9527020628137
