mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
4,TPA + acetic acid,0,2.4,4.384,4.302876023528144,1.4693198636329776,11.153142148402978
4,TPA + acetic acid,0,2.42,4.3902,4.3143303337801955,1.470709659809268,11.20365385773275
4,TPA + acetic acid,0,2.44,4.3964,4.329505506700053,1.4720988873179044,11.249094877741516
4,TPA + acetic acid,0,2.46,4.4026,4.345374543559347,1.4734875491969808,11.29015604950279
4,TPA + acetic acid,0,2.48,4.4088,4.360632284730731,1.4748756484783452,11.327568887957923
4,TPA + acetic acid,0,2.5,4.415,4.370671974689696,1.4762631881876436,11.361921477496047
4,TPA + acetic acid,0,2.52,4.4212,4.3803939099011755,1.4776501713443642,11.393670282145067
4,TPA + acetic acid,0,2.54,4.4274000000000004,4.390412834421678,1.479036600961876,11.423176710702752
4,TPA + acetic acid,0,2.56,4.4336,4.399668237703534,1.4804224800474746,11.450731804782158
4,TPA + acetic acid,0,2.58,4.4398,4.409037360730862,1.4818078116024198,11.47657339818533
4,TPA + acetic acid,0,2.6,4.446,4.423999075318939,1.483192598621979,11.500898344995203
4,TPA + acetic acid,0,2.62,4.4522,4.439241518066452,1.4845768440954683,11.523871424933198
4,TPA + acetic acid,0,2.64,4.4584,4.4492498147588275,1.4859605510062899,11.54563195382196
4,TPA + acetic acid,0,2.66,4.4646,4.459104199115812,1.487343722331977,11.566298774171273
4,TPA + acetic acid,0,2.68,4.4708000000000006,4.4723438814235115,1.4887263610442294,11.585974080050253
4,TPA + acetic acid,0,2.7,4.477,4.4822043962617135,1.4901084701089555,11.604746388462136
4,TPA + acetic acid,0,2.72,4.4832,4.4957463600473355,1.4914900524863102,11.622692876033923
4,TPA + acetic acid,0,2.74,4.4894,4.505071895218543,1.492871111130735,11.639881237059889
