mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
1,pHBA + TPA,0,3.48,9.4508,4.903890206951124,1.543628602898219,12.013764561475263
1,pHBA + TPA,0,3.5,9.465,4.914908051302121,1.544991896189838,12.020160236697276
1,pHBA + TPA,0,3.52,9.4792,4.923938999693918,1.546354776899936,12.02644696329974
1,pHBA + TPA,0,3.54,9.4934,4.932844515546258,1.5477172477833272,12.032628143883404
1,pHBA + TPA,0,3.56,9.5076,4.941665366182693,1.5490793115904906,12.038707024952437
1,pHBA + TPA,0,3.58,9.5218,4.9506800845814185,1.5504409710676024,12.044686706314572
1,pHBA + TPA,0,3.6,9.536,4.964076240521596,1.5518022289565643,12.050570149784228
1,pHBA + TPA,0,3.62,9.5502,4.978866635646425,1.5531630879950327,12.056360187249584
1,pHBA + TPA,0,3.64,9.564400000000001,4.990886620117219,1.5545235509164463,12.062059528158713
1,pHBA + TPA,0,3.66,9.5786,5.000352209654096,1.5558836204500563,12.067670766474183
1,pHBA + TPA,0,3.68,9.5928,5.009669529744885,1.5572432993209544,12.073196387140843
1,pHBA + TPA,0,3.7,9.607,5.01992216879489,1.5586025902501008,12.078638772107045
1,pHBA + TPA,0,3.72,9.6212,5.034824290980997,1.5599614959543522,12.084000205935883
1,pHBA + TPA,0,3.74,9.6354,5.051700954436881,1.5613200191464913,12.089282881039434
1,pHBA + TPA,0,3.7600000000000002,9.6496,5.062410761189342,1.5626781625352528,12.09448890256601
1,pHBA + TPA,0,3.7800000000000002,9.6638,5.07537893834426,1.5640359288253527,12.099620292967685
1,pHBA + TPA,0,3.8000000000000003,9.678,5.0848688962942985,1.5653933207175132,12.104678996272856
1,pHBA + TPA,0,3.8200000000000003,9.6922,5.093967819945335,1.5667503409084955,12.109666882086394
1,pHBA + TPA,0,3.84,9.7064,5.103272961249316,1.568106992091121,12.114585749337973
1,pHBA + TPA,0,3.86,9.720600000000001,5.114678603429593,1.5694632769543024,12.119437329797389
1,pHBA + TPA,0,3.88,9.7348,5.124803577957108,1.5708191981830688,12.124223291374001
1,pHBA + TPA,0,3.9,9.749,5.134254976012523,1.572174758458595,12.128945241216012
1,pHBA + TPA,0,3.92,9.7632,5.143929221068057,1.573529960458223,12.13360472862404
1,pHBA + TPA,0,3.94,9.7774,5.154767656146676,1.574884806855497,12.138203247792077
1,pHBA + TPA,0,3.96,9.7916,5.170517962224647,1.5762393003201822,12.142742240388074
1,pHBA + TPA,0,3.98,9.8058,5.184635034296536,1.5775934435182957,12.147223097985183
1,pHBA + TPA,0,4.0,9.82,5.197898422596417,1.578947239112129,12.151647164353992
1,pHBA + TPA,0,4.0200000000000005,9.8336,5.20966849721303,1.5803006897602798,12.156015737625118
1,pHBA + TPA,0,4.04,9.8472,5.221547025262962,1.5816537981176726,12.16033007233089
1,pHBA + TPA,0,4.0600000000000005,9.860800000000001,5.232813625193964,1.5830065668355862,12.164591381334148
1,pHBA + TPA,0,4.08,9.8744,5.2456524192229,1.5843589985616813,12.168800837651556
1,pHBA + TPA,0,4.1,9.888,5.263257725510112,1.5857110959400251,12.17295957617825
1,pHBA + TPA,0,4.12,9.9016,5.2767659115980114,1.5870628616111162,12.17706869532024
1,pHBA + TPA,0,4.14,9.9152,5.2987252789796315,1.5884142982119096,12.181129258540306
1,pHBA + TPA,0,4.16,9.9288,5.3160163850141915,1.5897654083758446,12.185142295822953
1,pHBA + TPA,0,4.18,9.9424,5.34186036543733,1.591116194732868,12.189108805063363
1,pHBA + TPA,0,4.2,9.956,5.355007443905892,1.5924666599094603,12.193029753385083
1,pHBA + TPA,0,4.22,9.9696,5.370259153935285,1.593768500027973,12.196906078390775
1,pHBA + TPA,0,4.24,9.9832,5.385627147014396,1.5950292033074773,12.200738689350054
1,pHBA + TPA,0,4.26,9.9968,5.398214467149881,1.5962893029595175,12.204528468328185
1,pHBA + TPA,0,4.28,10.0104,5.415383004388301,1.597548801912858,12.208276271259162
1,pHBA + TPA,0,4.3,10.024000000000001,5.427497747523674,1.598807703094551,12.211982928966378
1,pHBA + TPA,0,4.32,10.037600000000001,5.442734378598823,1.6000660094299524,12.21564924813396
1,pHBA + TPA,0,4.34,10.0512,5.456486205247349,1.6013237238427354,12.219276012231596
1,pHBA + TPA,0,4.36,10.0648,5.469251454850006,1.6025808492549038,12.222863982395495
1,pHBA + TPA,0,4.38,10.0784,5.480055169165167,1.603837388586804,12.226413898267964
1,pHBA + TPA,0,4.4,10.092,5.494942768130217,1.6050933447571416,12.229926478797914
1,pHBA + TPA,0,4.42,10.1056,5.507399707921124,1.6063487206829943,12.23340242300442
1,pHBA + TPA,0,4.44,10.119200000000001,5.517998316792362,1.6076035192798215,12.236842410705442
1,pHBA + TPA,0,4.46,10.1328,5.531771453357541,1.6088577434614835,12.240247103213488
1,pHBA + TPA,0,4.48,10.1464,5.546683397956783,1.6101113961402511,12.243617144000119
1,pHBA + TPA,0,4.5,10.16,5.557265512135275,1.6113644802268206,12.246953159330857
