family,policy,training_seed,domain,benchmark_seed,checkpoint_sha256,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_additions_mean,additions_per_task_mean,overshoots_per_task_mean,total_volume_mean_ml,final_abs_error_mean
F5,ppo_seed_101,101,independent_j123,555,845a5bfe19c7f64d01a037dffb37bf5cd7ca11e948d822bed13801c5e195c3fe,3000,84.33333333333334,36.199999999999996,6.866666666666667,2.433333333333333,7.886166007905138,13.303,4.907666666666667,8.94066,0.16813196439389985
F5,ppo_seed_202,202,independent_j123,101,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2,3000,87.33333333333333,41.06666666666667,5.766666666666667,1.7999999999999998,6.340458015267176,10.869333333333334,5.0986666666666665,9.122283333333332,0.16845570664558102
F5,ppo_seed_202,202,independent_j123,202,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2,3000,87.5,42.266666666666666,5.8999999999999995,1.866666666666667,6.313142857142857,10.674666666666667,5.042666666666666,9.192213333333333,0.15810447119646115
F5,ppo_seed_202,202,independent_j123,303,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2,3000,87.83333333333333,43.4,5.0,2.566666666666667,6.0679316888045545,10.141,4.621,8.88762,0.15289085654928505
F5,ppo_seed_202,202,independent_j123,404,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2,3000,87.3,41.4,5.433333333333333,1.9666666666666666,6.244368079419626,10.779,4.836333333333333,8.68695,0.1596638373267025
F5,ppo_seed_202,202,independent_j123,555,2401c79adc707d0ca208dd52ee7e5158c27733a5351089567ce54349ac3acbb2,3000,86.63333333333333,41.766666666666666,5.966666666666667,2.4,6.162370142362447,10.782333333333334,4.992333333333334,9.211746666666667,0.1628316158118115
F5,ppo_seed_303,303,independent_j123,101,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1,3000,81.26666666666667,34.86666666666667,7.533333333333333,2.833333333333333,8.175553732567678,14.313,4.157333333333334,8.5108,0.21093869525063402
F5,ppo_seed_303,303,independent_j123,202,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1,3000,81.06666666666666,34.46666666666667,8.133333333333333,2.1,8.009868421052632,14.468333333333334,4.225333333333333,8.443386666666665,0.21235186327650074
F5,ppo_seed_303,303,independent_j123,303,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1,3000,82.03333333333333,35.3,6.866666666666667,3.033333333333333,8.14587566030069,14.086333333333334,3.852,7.865029999999999,0.18455289132514865
F5,ppo_seed_303,303,independent_j123,404,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1,3000,80.46666666666667,34.699999999999996,7.6,2.9000000000000004,7.809030654515327,14.581666666666667,3.7796666666666665,7.829843333333333,0.20122334458587307
F5,ppo_seed_303,303,independent_j123,555,3ee597d015a7dde484183862278e178012ccada133e5b3903f362bff3ee084d1,3000,80.03333333333333,33.2,8.433333333333334,2.5,7.8937942523948355,14.693,4.006,8.57814,0.22588473950593288
F5,ppo_seed_404,404,independent_j123,101,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857,3000,82.19999999999999,36.8,5.066666666666666,2.2666666666666666,7.276966747769667,14.016333333333334,4.756,8.616053333333335,0.1620531853083347
F5,ppo_seed_404,404,independent_j123,202,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857,3000,82.36666666666666,37.53333333333334,5.8999999999999995,2.2666666666666666,7.197086199919061,13.723,4.583666666666667,8.599916666666667,0.1654607758034724
F5,ppo_seed_404,404,independent_j123,303,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857,3000,83.33333333333334,38.36666666666667,5.2,1.7000000000000002,7.2896,13.631666666666666,4.031,8.355706666666668,0.1452607611348755
F5,ppo_seed_404,404,independent_j123,404,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857,3000,82.19999999999999,36.233333333333334,5.433333333333333,1.866666666666667,6.959448499594485,13.840333333333334,4.198666666666667,8.163083333333333,0.1629884320394876
F5,ppo_seed_404,404,independent_j123,555,d6bd6e4ef01e6f50d008279e9e95c1958345aa56e20a3e837b08fef21be11857,3000,81.76666666666667,40.96666666666667,6.3,2.3333333333333335,6.986547085201794,13.909,4.357666666666667,8.56241,0.16898550290084416
F5,ppo_seed_555,555,independent_j123,101,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1,3000,84.16666666666667,42.16666666666667,7.566666666666666,1.2333333333333334,6.312475247524753,11.942,4.482,9.906740000000001,0.21359998424554774
F5,ppo_seed_555,555,independent_j123,202,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1,3000,84.63333333333334,41.63333333333333,7.000000000000001,1.9333333333333333,6.415517920441118,11.599,4.289,9.607289999999999,0.18632858832571816
F5,ppo_seed_555,555,independent_j123,303,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1,3000,85.23333333333333,43.9,6.333333333333334,2.0666666666666664,6.371138052405162,11.324,3.896333333333333,9.223013333333334,0.17519978576670958
F5,ppo_seed_555,555,independent_j123,404,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1,3000,85.13333333333334,41.199999999999996,7.233333333333333,1.0999999999999999,6.178151918559123,11.627333333333333,3.8613333333333335,8.933843333333334,0.19614452299373103
F5,ppo_seed_555,555,independent_j123,555,7770bd4cea4634d9ec360287065ef1a215df7b2799d2ffdb2617bc5b4b226be1,3000,84.33333333333334,42.66666666666667,7.766666666666666,2.033333333333333,6.265217391304348,11.700666666666667,4.123,9.53537,0.20653914393825396
F6,imitation,,independent_j123,101,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef,3000,87.03333333333333,36.86666666666667,5.033333333333333,3.033333333333333,7.760245116813482,12.227333333333334,5.418,7.744669999999999,0.14605744922101557
F6,imitation,,independent_j123,202,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef,3000,86.9,37.4,4.733333333333333,2.7,7.471039509014193,12.237333333333334,5.537,7.755769999999999,0.13289412207472673
F6,imitation,,independent_j123,303,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef,3000,88.6,38.5,3.5333333333333337,2.7666666666666666,7.288939051918736,11.253,4.824666666666666,7.49508,0.11698639085008612
F6,imitation,,independent_j123,404,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef,3000,87.6,35.86666666666667,4.0,2.933333333333333,7.411339421613394,11.760666666666667,4.9896666666666665,7.468716666666666,0.12913508566697032
F6,imitation,,independent_j123,555,0cbd0012ab44f3d3f5d38b2217db004975fdb1346bf023dbf4ebe62efc8d6eef,3000,87.76666666666667,37.0,4.3,2.533333333333333,7.477022407899734,11.798666666666668,5.214666666666667,7.832040000000001,0.13516258747467402
F6,ppo_seed_101,101,independent_j123,101,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0,3000,89.86666666666666,40.0,3.7666666666666666,2.7333333333333334,6.965875370919881,10.277,4.269333333333333,8.022233333333334,0.13175584527792925
F6,ppo_seed_101,101,independent_j123,202,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0,3000,88.93333333333334,41.4,3.933333333333333,2.933333333333333,6.779235382308846,10.308333333333334,4.339,7.96269,0.12854129979926326
F6,ppo_seed_101,101,independent_j123,303,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0,3000,91.53333333333333,40.2,2.7333333333333334,2.7,6.647851420247633,9.205666666666668,3.483,7.655856666666667,0.11342968094367924
F6,ppo_seed_101,101,independent_j123,404,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0,3000,90.86666666666666,40.733333333333334,3.4333333333333336,2.1999999999999997,6.907556859867938,9.973666666666666,3.7953333333333332,7.62219,0.12052871536707488
F6,ppo_seed_101,101,independent_j123,555,2ac6d2bf853d274107cfb321594f157b74b1226bb15f99d6b269b8fbb3c8d9c0,3000,90.23333333333333,41.266666666666666,3.5000000000000004,2.7,6.680088659032139,9.803666666666667,4.028,7.940883333333334,0.12435873816404135
F6,ppo_seed_202,202,independent_j123,101,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c,3000,87.03333333333333,36.86666666666667,5.033333333333333,3.033333333333333,7.760245116813482,12.227333333333334,5.418,7.744669999999999,0.14605744922101557
F6,ppo_seed_202,202,independent_j123,202,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c,3000,86.9,37.4,4.733333333333333,2.7,7.471039509014193,12.237333333333334,5.537,7.755769999999999,0.13289412207472673
F6,ppo_seed_202,202,independent_j123,303,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c,3000,88.6,38.5,3.5333333333333337,2.7666666666666666,7.288939051918736,11.253,4.824666666666666,7.49508,0.11698639085008612
F6,ppo_seed_202,202,independent_j123,404,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c,3000,87.6,35.86666666666667,4.0,2.933333333333333,7.411339421613394,11.760666666666667,4.9896666666666665,7.468716666666666,0.12913508566697032
F6,ppo_seed_202,202,independent_j123,555,5b50c32bbf6a0daeeef3c88a7da4d9abd9d4e2c4bed110c82c30566bc3cbf87c,3000,87.76666666666667,37.0,4.3,2.533333333333333,7.477022407899734,11.798666666666668,5.214666666666667,7.832040000000001,0.13516258747467402
