BASE,,SSA1,,SSA2,,SSA3,,SSA4R,,SSA5R,,SSA6,,SSA7,,SSA8,,SSA9,,SSA10,,SSA11,,SSAP,,CUP,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
707.9924927,-0.000884037,707.9924927,0.048628636,707.9924927,0.079778604,707.9924927,0.089124113,707.994751,0.085852571,707.994751,0.093031123,707.9924927,0.080386594,707.9924927,0.073254675,707.9924927,0.056691788,707.9924927,0.043578204,707.9924927,0.027913488,707.9924927,0.013330234,707.9924927,0.00256262,707.9924927,0.107674226
706.0179443,-0.000165483,706.0179443,0.047574725,706.0179443,0.079767071,706.0179443,0.089220367,705.9845581,0.088718288,705.9845581,0.094249621,706.0179443,0.078974858,706.0179443,0.073053285,706.0179443,0.056680195,706.0179443,0.043165296,706.0179443,0.027201107,706.0179443,0.013137128,706.0179443,0.002280656,706.0179443,0.104254417
704.0062256,-0.000193066,704.0062256,0.047626112,704.0062256,0.078879923,704.0062256,0.087136291,704.0089722,0.083720043,704.0089722,0.092698686,704.0062256,0.077929415,704.0062256,0.07307861,704.0062256,0.05491443,704.0062256,0.043029882,704.0062256,0.027839983,704.0062256,0.013829543,704.0062256,0.001774713,704.0062256,0.103091747
701.993103,-0.001806031,701.993103,0.046272967,701.993103,0.07405293,701.993103,0.084672883,701.9961548,0.083320767,701.9961548,0.091004461,701.993103,0.075765044,701.993103,0.07102266,701.993103,0.054848723,701.993103,0.041656341,701.993103,0.025297338,701.993103,0.011933618,701.993103,0.001111878,701.993103,0.097710848
700.0146484,0.0002477476082,700.0146484,0.046559442,700.0146484,0.077019274,700.0146484,0.08532957,700.0179443,0.081946746,700.0179443,0.089384332,700.0146484,0.078004375,700.0146484,0.071220979,700.0146484,0.056707215,700.0146484,0.043798335,700.0146484,0.026997851,700.0146484,0.014418341,700.0146484,0.003289226,700.0146484,0.098445103
697.9990234,0.0005047330633,697.9990234,0.045531202,697.9990234,0.074974127,697.9990234,0.083836049,698.0025635,0.082311466,698.0025635,0.088619351,697.9990234,0.075277783,697.9990234,0.071772017,697.9990234,0.053876497,697.9990234,0.042265583,697.9990234,0.026654458,697.9990234,0.013800629,697.9990234,0.001939274,697.9990234,0.095852464
696.0180054,-0.00104655,696.0180054,0.043715708,696.0180054,0.07149861,696.0180054,0.082152054,695.9857788,0.08044491,695.9857788,0.087168247,696.0180054,0.073278241,696.0180054,0.070499241,696.0180054,0.052629109,696.0180054,0.040973958,696.0180054,0.025312623,696.0180054,0.011755839,696.0180054,0.00111847,696.0180054,0.092211135
693.9996948,0.0001889568957,693.9996948,0.040449027,693.9996948,0.069870844,693.9996948,0.081607252,694.0037231,0.081244394,694.0037231,0.088442758,693.9996948,0.071723372,693.9996948,0.068145975,693.9996948,0.051141191,693.9996948,0.040289149,693.9996948,0.025946967,693.9996948,0.013228013,693.9996948,0.001067891,693.9996948,0.090534501
692.0161133,-0.000374615,692.0161133,0.043199863,692.0161133,0.068323076,692.0161133,0.080091618,691.984375,0.078084186,691.984375,0.085609309,692.0161133,0.071982473,692.0161133,0.068010412,692.0161133,0.05322814,692.0161133,0.039384115,692.0161133,0.025482507,692.0161133,0.011857874,692.0161133,0.003323735,692.0161133,0.087068714
689.9952393,-0.000371408,689.9952393,0.038693234,689.9952393,0.068438821,689.9952393,0.075789392,689.9998169,0.076448299,689.9998169,0.083617099,689.9952393,0.072450638,689.9952393,0.067798361,689.9952393,0.051448993,689.9952393,0.040438797,689.9952393,0.023046359,689.9952393,0.011087458,689.9952393,0.001010027,689.9952393,0.08565452
688.0090942,-2.99E-05,688.0090942,0.039145447,688.0090942,0.066877387,688.0090942,0.076629199,688.013916,0.078042142,688.013916,0.082604393,688.0090942,0.070073932,688.0090942,0.06652005,688.0090942,0.050436396,688.0090942,0.039001398,688.0090942,0.024561647,688.0090942,0.011214889,688.0090942,0.002469592,688.0090942,0.082377836
685.9855957,0.0001752056851,685.9855957,0.03961781,685.9855957,0.066937275,685.9855957,0.076724939,685.9907227,0.076214567,685.9907227,0.08416453,685.9855957,0.067545921,685.9855957,0.066242449,685.9855957,0.050062612,685.9855957,0.038139142,685.9855957,0.02533957,685.9855957,0.010889294,685.9855957,0.0005869466113,685.9855957,0.08058048
683.9970093,-0.001957892,683.9970093,0.038221337,683.9970093,0.06067922,683.9970093,0.076492257,684.0023193,0.074515067,684.0023193,0.081190124,683.9970093,0.066609062,683.9970093,0.062117796,683.9970093,0.048432816,683.9970093,0.035904963,683.9970093,0.022560393,683.9970093,0.012345691,683.9970093,0.002302879,683.9970093,0.078590497
682.0070801,-0.000186235,682.0070801,0.036209125,682.0070801,0.062520579,682.0070801,0.072579943,682.0127563,0.072843626,682.0127563,0.076851502,682.0070801,0.06671609,682.0070801,0.061676119,682.0070801,0.048799697,682.0070801,0.037992287,682.0070801,0.023152666,682.0070801,0.011781611,682.0070801,0.002717216,682.0070801,0.075484581
680.0160522,-0.001651023,680.0160522,0.034497682,680.0160522,0.061205324,680.0160522,0.071726792,679.9856567,0.071358733,679.9856567,0.079053789,680.0160522,0.066362776,680.0160522,0.06138156,680.0160522,0.0471926,680.0160522,0.038380567,680.0160522,0.022149986,680.0160522,0.011234254,680.0160522,0.001181436,680.0160522,0.072762936
677.9874268,-6.48E-05,677.9874268,0.035588957,677.9874268,0.059517931,677.9874268,0.071866021,677.9935913,0.068402007,677.9935913,0.074551336,677.9874268,0.065055959,677.9874268,0.061558761,677.9874268,0.046760503,677.9874268,0.036739152,677.9874268,0.023242038,677.9874268,0.012248174,677.9874268,0.001360313,677.9874268,0.073496938
675.9938354,-0.000993557,675.9938354,0.032908488,675.9938354,0.057367995,675.9938354,0.070834272,676.0001831,0.068626389,676.0001831,0.077258147,675.9938354,0.063216329,675.9938354,0.059792101,675.9938354,0.046113983,675.9938354,0.033624176,675.9938354,0.020552957,675.9938354,0.010312442,675.9938354,0.001853892,675.9938354,0.069682047
673.9990234,7.655155787E-005,673.9990234,0.036215767,673.9990234,0.057547972,673.9990234,0.067714371,674.0055542,0.06838043,674.0055542,0.074676655,673.9990234,0.062373769,673.9990234,0.060317457,673.9990234,0.045569755,673.9990234,0.033780694,673.9990234,0.023021355,673.9990234,0.011133666,673.9990234,0.0007940527285,673.9990234,0.067353167
672.0029297,-0.000526667,672.0029297,0.031095896,672.0029297,0.056070641,672.0029297,0.066451393,672.0097656,0.066883065,672.0097656,0.0714662,672.0029297,0.05926349,672.0029297,0.056278426,672.0029297,0.043586161,672.0029297,0.03398253,672.0029297,0.021544199,672.0029297,0.009314583,672.0029297,0.001392566,672.0029297,0.065323837
670.0056763,0.0009576451266,670.0056763,0.03338426,670.0056763,0.056708451,670.0056763,0.06807778,670.0126953,0.063761674,670.0126953,0.070788592,670.0056763,0.062588535,670.0056763,0.057574719,670.0056763,0.047734562,670.0056763,0.034914151,670.0056763,0.02336574,670.0056763,0.012653431,670.0056763,0.003406849,670.0056763,0.065914951
