"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_1000","1000","101","1000101","2211","1","7.069","7.07","6.632","2","0","1.5499999999999998","6.685199525246425","6.69","0.05319952524642524","0.05319952524642524","0.05800000000000072","1","0","0","1","0","measured_success","3"
"pf_1000","1000","101","1000101","2369","3","2.332","2.33","2.572","2","0","1.01","2.495026529908313","2.5","-0.07697347009168709","0.07697347009168709","0.07200000000000006","1","0","0","1","0","measured_success","3"
"pf_1000","1000","101","1000101","2526","3","2.437","2.44","1.868","2","0","3.21","1.9185320397798842","1.92","0.050532039779884075","0.050532039779884075","0.051999999999999824","1","0","0","1","0","measured_success","3"
"pf_1000","1000","101","1000101","2684","2","3.885","3.88","3.626","6","1","5.49","3.58093020465063","3.58","-0.04506979534936972","0.04506979534936972","0.04599999999999982","1","1","0","1","0","measured_success","7"
"pf_1000","1000","101","1000101","2842","3","6.447","6.45","4.327","3","0","7.38","4.399599901370054","4.4","0.07259990137005445","0.07259990137005445","0.0730000000000004","1","0","0","1","0","measured_success","4"
"pf_1000","1000","101","1000101","3000","1","7.472","7.47","7.922","2","0","3.0999999999999996","7.842612077819284","7.84","-0.07938792218071544","0.07938792218071544","0.08199999999999985","1","0","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","1","3","2.507","2.51","2.84","6","0","3.3499999999999996","2.751467568236354","2.75","-0.088532431763646","0.088532431763646","0.08999999999999986","1","0","0","1","0","measured_success","7"
"pf_1000","1000","202","1000202","159","2","3.865","3.86","5.408","12","0","27.599999999999998","5.379768076451613","5.38","-0.028231923548386995","0.028231923548386995","0.02800000000000047","1","1","0","1","0","measured_success","13"
"pf_1000","1000","202","1000202","317","2","4.194","4.19","5.463","12","0","15.4","5.3781930610338655","5.38","-0.08480693896613456","0.08480693896613456","0.08300000000000018","1","0","0","1","0","measured_success","13"
"pf_1000","1000","202","1000202","475","2","3.988","3.99","7.921","13","8","20.63","7.913674040088338","7.91","-0.007325959911661961","0.007325959911661961","0.01100000000000012","1","1","0","1","0","measured_success","14"
"pf_1000","1000","202","1000202","632","3","3.488","3.49","5.556","2","2","5.960000000000001","5.54688423174801","5.55","-0.009115768251990453","0.009115768251990453","0.006000000000000227","1","1","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","790","2","6.586","6.59","2.681","2","2","9.319999999999999","2.750880422619649","2.75","0.069880422619649","0.069880422619649","0.06899999999999995","1","0","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","948","3","2.995","3.0","3.693","2","0","2.18","3.633325322303925","3.63","-0.05967467769607504","0.05967467769607504","0.06300000000000017","1","0","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","1106","1","7.852","7.85","5.042","11","8","13.94","5.120751457095922","5.12","0.07875145709592246","0.07875145709592246","0.07800000000000029","1","0","0","1","0","measured_success","12"
"pf_1000","1000","202","1000202","1264","1","5.63","5.63","9.358","12","8","16.06","9.310821759588173","9.31","-0.04717824041182794","0.04717824041182794","0.04800000000000004","1","1","0","1","0","measured_success","13"
"pf_1000","1000","202","1000202","1422","1","3.371","3.37","3.849","2","1","3.67","3.9403687820485995","3.94","0.09136878204859933","0.09136878204859933","0.09099999999999975","1","0","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","1579","3","8.923","8.92","9.277","4","3","2.08","9.329242409410263","9.33","0.05224240941026359","0.05224240941026359","0.053000000000000824","1","0","0","1","0","measured_success","5"
"pf_1000","1000","202","1000202","1737","1","7.952","7.95","8.355","2","1","2.93","8.410769005298018","8.41","0.05576900529801776","0.05576900529801776","0.054999999999999716","1","0","0","1","0","measured_success","3"
"pf_1000","1000","202","1000202","1895","1","9.274","9.27","11.088","7","4","14.169999999999998","11.086732473577072","11.09","-0.0012675264229269345","0.0012675264229269345","0.002000000000000668","1","1","0","1","0","measured_success","8"
"pf_1000","1000","202","1000202","2053","2","3.186","3.19","5.657","3","0","9.84","5.635872530266662","5.64","-0.021127469733338344","0.021127469733338344","0.017000000000000348","1","1","0","1","0","measured_success","4"
"pf_1000","1000","202","1000202","2211","2","3.24","3.24","1.83","1","1","4.61","1.8203459880318027","1.82","-0.009654011968197374","0.009654011968197374","0.010000000000000009","1","1","0","1","0","measured_success","2"
"pf_1000","1000","202","1000202","2369","2","2.0","2.0","1.653","1","0","1.83","1.7321273463361462","1.73","0.07912734633614615","0.07912734633614615","0.07699999999999996","1","0","0","1","0","measured_success","2"
"pf_1000","1000","202","1000202","2526","3","3.738","3.74","2.856","3","0","7.77","2.8871246140996236","2.89","0.03112461409962375","0.03112461409962375","0.03400000000000025","1","1","0","1","0","measured_success","4"
"pf_1000","1000","202","1000202","2684","1","4.468","4.47","2.589","4","3","8.52","2.5205211540356105","2.52","-0.06847884596438947","0.06847884596438947","0.06899999999999995","1","0","0","1","0","measured_success","5"
"pf_1000","1000","202","1000202","2842","3","3.649","3.65","5.173","8","0","20.23","5.107038537077104","5.11","-0.06596146292289617","0.06596146292289617","0.06299999999999972","1","0","0","1","0","measured_success","9"
"pf_1000","1000","202","1000202","3000","3","4.14","4.14","5.711","2","0","5.1899999999999995","5.694780583801528","5.69","-0.016219416198472558","0.016219416198472558","0.020999999999999908","1","1","0","1","0","measured_success","3"
"pf_1000","1000","303","1000303","1","2","4.135","4.14","3.816","1","0","1.97","3.8352821950198024","3.84","0.01928219501980255","0.01928219501980255","0.02400000000000002","1","1","0","1","0","measured_success","2"
"pf_1000","1000","303","1000303","159","1","5.055","5.06","4.744","3","1","3.86","4.660021451154163","4.66","-0.08397854884583644","0.08397854884583644","0.08399999999999963","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","317","2","4.234","4.23","7.283","11","0","25.249999999999996","7.225492971242394","7.23","-0.05750702875760627","0.05750702875760627","0.052999999999999936","1","0","0","1","0","measured_success","12"
"pf_1000","1000","303","1000303","475","3","4.899","4.9","3.922","5","0","6.04","3.977656482292395","3.98","0.05565648229239484","0.05565648229239484","0.05799999999999983","1","0","0","1","0","measured_success","6"
"pf_1000","1000","303","1000303","632","1","7.613","7.61","3.977","12","8","19.97","3.9950376484060124","4.0","0.01803764840601252","0.01803764840601252","0.02300000000000013","1","1","0","1","0","measured_success","13"
"pf_1000","1000","303","1000303","790","2","2.52","2.52","2.018","11","0","7.35","2.1072205883790716","2.11","0.08922058837907176","0.08922058837907176","0.09200000000000008","1","0","0","1","0","measured_success","12"
"pf_1000","1000","303","1000303","948","1","4.683","4.68","4.093","2","1","3.89","4.052314470101065","4.05","-0.04068552989893526","0.04068552989893526","0.04300000000000015","1","1","0","1","0","measured_success","3"
"pf_1000","1000","303","1000303","1106","2","2.614","2.61","3.737","3","0","3.78","3.671841869095414","3.67","-0.06515813090458611","0.06515813090458611","0.06700000000000017","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","1264","3","4.275","4.28","3.92","3","1","4.029999999999999","3.8818446031775027","3.88","-0.038155396822497245","0.038155396822497245","0.040000000000000036","1","1","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","1422","2","3.916","3.92","2.333","3","2","6.74","2.4318425049517503","2.43","0.09884250495175007","0.09884250495175007","0.09699999999999998","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","1579","3","3.719","3.72","5.532","4","0","5.779999999999999","5.480598418059651","5.48","-0.051401581940348606","0.051401581940348606","0.0519999999999996","1","0","0","1","0","measured_success","5"
"pf_1000","1000","303","1000303","1737","1","5.828","5.83","6.357","1","0","3.49","6.290314204395955","6.29","-0.06668579560404542","0.06668579560404542","0.06700000000000017","1","0","0","1","0","measured_success","2"
"pf_1000","1000","303","1000303","1895","2","4.264","4.26","3.929","3","0","1.7500000000000002","4.0195835616133575","4.0200000000000005","0.09058356161335768","0.09058356161335768","0.09100000000000064","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","2053","2","5.339","5.34","3.528","6","0","12.270000000000001","3.5883622872929024","3.59","0.060362287292902383","0.060362287292902383","0.06199999999999983","1","0","0","1","0","measured_success","7"
"pf_1000","1000","303","1000303","2211","1","6.27","6.27","4.433","5","2","9.68","4.443762523940439","4.44","0.010762523940439195","0.010762523940439195","0.007000000000000561","1","1","0","1","0","measured_success","6"
"pf_1000","1000","303","1000303","2369","1","5.15","5.15","3.969","3","2","5.41","4.021851223798032","4.0200000000000005","0.05285122379803253","0.05285122379803253","0.0510000000000006","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","2526","1","8.612","8.61","5.367","12","8","15.819999999999997","5.426978731792699","5.43","0.05997873179269941","0.05997873179269941","0.06299999999999972","1","0","0","1","0","measured_success","13"
"pf_1000","1000","303","1000303","2684","1","8.085","8.09","7.098","2","2","3.81","7.129659141213693","7.13","0.03165914121369351","0.03165914121369351","0.03200000000000003","1","1","0","1","0","measured_success","3"
"pf_1000","1000","303","1000303","2842","2","2.628","2.63","3.771","3","0","4.49","3.6814125425882027","3.68","-0.08958745741179719","0.08958745741179719","0.09099999999999975","1","0","0","1","0","measured_success","4"
"pf_1000","1000","303","1000303","3000","3","2.325","2.33","3.311","3","0","5.51","3.223583322156994","3.22","-0.08741667784300589","0.08741667784300589","0.09099999999999975","1","0","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","1","1","2.936","2.94","3.143","1","1","0.55","3.2091138424418695","3.21","0.06611384244186969","0.06611384244186969","0.06700000000000017","1","0","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","159","3","4.211","4.21","1.901","1","0","6.6","1.9054601634263917","1.9100000000000001","0.004460163426391661","0.004460163426391661","0.009000000000000119","1","1","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","317","3","5.819","5.82","4.604","3","1","6.3500000000000005","4.531614736227512","4.53","-0.072385263772488","0.072385263772488","0.07399999999999984","1","0","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","475","1","7.472","7.47","3.758","13","8","22.029999999999998","3.7772782178267814","3.7800000000000002","0.019278217826781407","0.019278217826781407","0.02200000000000024","1","1","0","1","0","measured_success","14"
"pf_1000","1000","404","1000404","632","1","7.326","7.33","4.493","13","8","18.8","4.494072883882902","4.49","0.0010728838829017207","0.0010728838829017207","0.0030000000000001137","1","1","0","1","0","measured_success","14"
"pf_1000","1000","404","1000404","790","2","5.379","5.38","5.83","3","0","1.99","5.773605797434918","5.7700000000000005","-0.0563942025650821","0.0563942025650821","0.05999999999999961","1","0","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","948","1","8.743","8.74","8.245","1","0","1.29","8.331811813671454","8.33","0.08681181367145463","0.08681181367145463","0.08500000000000085","1","0","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","1106","1","8.284","8.28","11.417","3","1","9.5","11.437981114209514","11.44","0.020981114209513763","0.020981114209513763","0.022999999999999687","1","1","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","1264","3","6.675","6.68","5.134","3","2","7.299999999999999","5.17797071541278","5.18","0.043970715412779526","0.043970715412779526","0.045999999999999375","1","1","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","1422","1","6.814","6.81","7.397","2","1","5.3100000000000005","7.475932809497015","7.48","0.0789328094970152","0.0789328094970152","0.08300000000000018","1","0","0","1","0","measured_success","3"
"pf_1000","1000","404","1000404","1579","3","8.034","8.03","7.546","4","2","2.88","7.605418573681783","7.61","0.05941857368178294","0.05941857368178294","0.06400000000000006","1","0","0","1","0","measured_success","5"
"pf_1000","1000","404","1000404","1737","1","3.505","3.5","3.83","1","0","0.86","3.7684041141639044","3.77","-0.061595885836095654","0.061595885836095654","0.06000000000000005","1","0","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","1895","1","1.968","1.97","3.622","1","0","4.11","3.58164725729766","3.58","-0.040352742702340016","0.040352742702340016","0.041999999999999815","1","1","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","2053","3","5.247","5.25","8.479","10","5","23.740000000000006","8.528099062798844","8.53","0.04909906279884524","0.04909906279884524","0.051000000000000156","1","1","0","1","0","measured_success","11"
"pf_1000","1000","404","1000404","2211","2","3.391","3.39","2.345","3","1","6.5","2.311800888344168","2.31","-0.033199111655832336","0.033199111655832336","0.03500000000000014","1","1","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","2369","3","3.864","3.86","2.885","6","0","13.309999999999999","2.9000279461275307","2.9","0.015027946127530889","0.015027946127530889","0.015000000000000124","1","1","0","1","0","measured_success","7"
"pf_1000","1000","404","1000404","2526","2","7.524","7.52","9.229","15","8","11.359999999999998","9.209442145547314","9.21","-0.01955785445268532","0.01955785445268532","0.01899999999999835","1","1","0","1","0","measured_success","16"
"pf_1000","1000","404","1000404","2684","2","4.788","4.79","1.859","3","0","9.59","1.941128896814344","1.94","0.0821288968143441","0.0821288968143441","0.08099999999999996","1","0","0","1","0","measured_success","4"
"pf_1000","1000","404","1000404","2842","2","3.52","3.52","3.018","1","0","3.21","3.102468548910161","3.1","0.08446854891016109","0.08446854891016109","0.0820000000000003","1","0","0","1","0","measured_success","2"
"pf_1000","1000","404","1000404","3000","3","3.14","3.14","2.799","1","1","1.59","2.7460555428717717","2.75","-0.05294445712822826","0.05294445712822826","0.04899999999999993","1","0","0","1","0","measured_success","2"
"pf_1000","1000","555","1000555","1","3","5.258","5.26","4.769","3","0","2.13","4.813566961194743","4.8100000000000005","0.044566961194743016","0.044566961194743016","0.04100000000000037","1","1","0","1","0","measured_success","4"
"pf_1000","1000","555","1000555","159","1","7.884","7.88","8.572","4","3","7.720000000000001","8.669764796453677","8.67","0.09776479645367786","0.09776479645367786","0.09800000000000075","1","0","0","1","0","measured_success","5"
"pf_1000","1000","555","1000555","317","2","3.139","3.14","2.26","3","1","6.48","2.239915066155441","2.24","-0.020084933844558783","0.020084933844558783","0.019999999999999574","1","1","0","1","0","measured_success","4"
"pf_1000","1000","555","1000555","475","1","6.165","6.16","7.891","9","7","10.750000000000002","7.965763012003883","7.97","0.07476301200388313","0.07476301200388313","0.07899999999999974","1","0","0","1","0","measured_success","10"
"pf_1000","1000","555","1000555","632","2","6.678","6.68","8.183","13","8","10.560000000000002","8.173015698423274","8.17","-0.009984301576725585","0.009984301576725585","0.0129999999999999","1","1","0","1","0","measured_success","14"
"pf_1000","1000","555","1000555","790","3","5.273","5.27","4.065","2","1","5.88","4.055115866711763","4.0600000000000005","-0.009884133288237784","0.009884133288237784","0.004999999999999893","1","1","0","1","0","measured_success","3"
"pf_1000","1000","555","1000555","948","2","6.948","6.95","5.218","1","0","5.41","5.280212093989601","5.28","0.0622120939896007","0.0622120939896007","0.06200000000000028","1","0","0","1","0","measured_success","2"
"pf_1000","1000","555","1000555","1106","3","5.799","5.8","9.685","6","2","19.42","9.62016756900907","9.620000000000001","-0.06483243099093094","0.06483243099093094","0.0649999999999995","1","0","0","1","0","measured_success","7"
"pf_1000","1000","555","1000555","1264","2","4.381","4.38","6.678","14","10","14.179999999999996","6.671967746511143","6.67","-0.006032253488856831","0.006032253488856831","0.008000000000000007","1","1","0","1","0","measured_success","15"
"pf_1000","1000","555","1000555","1422","3","2.234","2.23","4.202","10","5","15.11","4.203359076847391","4.2","0.0013590768473914494","0.0013590768473914494","0.0019999999999997797","1","1","0","1","0","measured_success","11"
"pf_1000","1000","555","1000555","1579","1","5.187","5.19","5.963","2","1","4.57","6.05382111972607","6.05","0.09082111972606999","0.09082111972606999","0.08699999999999974","1","0","0","1","0","measured_success","3"
"pf_1000","1000","555","1000555","1737","1","6.024","6.02","3.5","12","7","15.270000000000001","3.4377961471323673","3.44","-0.06220385286763275","0.06220385286763275","0.06000000000000005","1","0","0","1","0","measured_success","13"
"pf_1000","1000","555","1000555","1895","1","2.566","2.57","4.682","9","8","10.710000000000003","4.5918522424104005","4.59","-0.09014775758959992","0.09014775758959992","0.09200000000000053","1","0","0","1","0","measured_success","10"
"pf_1000","1000","555","1000555","2053","1","8.833","8.83","5.15","50","44","19.16000000000005","5.292466699773978","5.29","0.14246669977397808","0.14246669977397808","0.13999999999999968","0","0","0","0","0","max_steps","51"
"pf_1000","1000","555","1000555","2211","2","3.477","3.48","5.51","2","2","8.1","5.4470560901403555","5.45","-0.06294390985964426","0.06294390985964426","0.05999999999999961","1","0","0","1","0","measured_success","3"
"pf_1000","1000","555","1000555","2369","1","6.754","6.75","7.719","1","0","2.52","7.6784233881922574","7.68","-0.04057661180774286","0.04057661180774286","0.03900000000000059","1","1","0","1","0","measured_success","2"
"pf_1000","1000","555","1000555","2526","1","3.126","3.13","4.733","8","4","12.06","4.708451912633283","4.71","-0.024548087366716764","0.024548087366716764","0.022999999999999687","1","1","0","1","0","measured_success","9"
"pf_1000","1000","555","1000555","2684","1","4.521","4.52","6.299","14","10","14.619999999999997","6.2737637133882345","6.2700000000000005","-0.025236286611765912","0.025236286611765912","0.028999999999999915","1","1","0","1","0","measured_success","15"
"pf_1000","1000","555","1000555","2842","1","4.391","4.39","3.18","2","1","4.66","3.1292591858551635","3.13","-0.050740814144836666","0.050740814144836666","0.050000000000000266","1","0","0","1","0","measured_success","3"
"pf_1000","1000","555","1000555","3000","2","4.228","4.23","2.343","4","3","7.93","2.2732947858044836","2.27","-0.06970521419551634","0.06970521419551634","0.07299999999999995","1","0","0","1","0","measured_success","5"
