regime,benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_time_ms_per_step_mean
wide_concentration,555,new_pf,1000,94.89999999999999,43.5,1.9,1.0999999999999999,7.063,5.2950474183350895,3.788,8.14103,0.07951506005492263,65.16557489305389
wide_concentration,555,new_ppo,1000,92.80000000000001,41.0,3.5000000000000004,1.2,8.642,6.024784482758621,3.909,8.81849,0.12352541195494285,0.14589762896189468
observation_noise_0p01,101,new_pf,1000,93.5,45.5,1.0,3.2,6.281,4.74331550802139,3.24,7.873170000000001,0.06491909493997838,64.01347370074596
observation_noise_0p01,101,new_ppo,1000,89.60000000000001,43.6,2.9000000000000004,5.5,7.662,5.433035714285714,2.967,8.505840000000001,0.10479981693412876,0.1485441222662872
observation_noise_0p01,202,new_pf,1000,91.5,43.6,1.2,5.5,6.315,4.85136612021858,3.15,7.903220000000001,0.0674432463273503,62.12317074684383
observation_noise_0p01,202,new_ppo,1000,89.2,40.8,2.7,5.5,7.95,5.492152466367713,3.315,8.41925,0.10729337943928809,0.1437612780727431
observation_noise_0p01,303,new_pf,1000,92.9,43.6,1.3,3.8,6.244,4.749192680301399,2.991,7.939450000000002,0.07477456338703212,60.245209789623075
observation_noise_0p01,303,new_ppo,1000,91.0,42.5,2.5,5.0,7.769,5.756043956043956,2.999,8.77668,0.10964356584593218,0.14220649885660092
observation_noise_0p01,404,new_pf,1000,92.2,41.8,1.6,4.7,6.111,4.698481561822126,2.946,7.597880000000001,0.07947298326172177,60.457654978681106
observation_noise_0p01,404,new_ppo,1000,89.4,43.4,3.4000000000000004,5.5,7.949,5.569351230425056,3.051,8.30561,0.10904998478785581,0.1434457821087383
observation_noise_0p01,555,new_pf,1000,92.4,43.3,1.0,5.0,6.104,4.720779220779221,2.955,7.6871800000000015,0.06663704967497393,61.55135057501144
observation_noise_0p01,555,new_ppo,1000,91.0,43.4,3.0,4.8,7.333,5.393406593406594,2.876,8.23575,0.10067990474671626,0.1461072361368042
observation_noise_0p03,101,new_pf,1000,83.2,45.4,1.0,12.6,6.967,4.600961538461538,3.026,7.846890000000001,0.07130448774109584,62.95266939844028
observation_noise_0p03,101,new_ppo,1000,83.1,45.7,2.8000000000000003,12.6,7.533,5.42719614921781,2.906,8.580470000000002,0.10753449323352135,0.1493212122677935
observation_noise_0p03,202,new_pf,1000,80.5,44.9,1.2,15.299999999999999,6.919,4.756521739130434,3.038,7.858500000000001,0.07422132730568837,64.73501671200151
observation_noise_0p03,202,new_ppo,1000,81.0,44.800000000000004,2.9000000000000004,14.6,7.57,5.258024691358025,3.004,8.49715,0.10778548970448207,0.14966174897708998
observation_noise_0p03,303,new_pf,1000,82.0,46.5,1.0999999999999999,13.900000000000002,6.94,4.753658536585366,2.823,7.914820000000001,0.07742713667754504,66.75346667187495
observation_noise_0p03,303,new_ppo,1000,85.0,46.1,2.5,11.4,7.555,5.449411764705882,2.851,8.76155,0.11079892188400312,0.15845218353698706
observation_noise_0p03,404,new_pf,1000,81.5,45.6,1.5,13.900000000000002,7.154,4.6220858895705526,2.93,7.608390000000001,0.0815951728652017,64.09090578669601
observation_noise_0p03,404,new_ppo,1000,81.5,44.2,3.1,14.2,7.595,5.419631901840491,2.817,8.220540000000002,0.11187592948616973,0.1516809137050829
observation_noise_0p03,555,new_pf,1000,82.19999999999999,45.800000000000004,0.8999999999999999,14.099999999999998,6.866,4.611922141119221,2.726,7.6382,0.0721438707922961,68.29624505545662
observation_noise_0p03,555,new_ppo,1000,83.5,43.3,3.1,12.5,7.115,5.279041916167665,2.815,8.21722,0.11131647590615398,0.16487833171813798
observation_noise_0p05,101,new_pf,1000,76.1,44.0,1.4000000000000001,18.5,7.726,4.624178712220762,2.916,7.832820000000001,0.0854235219656628,63.28737689587253
observation_noise_0p05,101,new_ppo,1000,75.7,42.8,2.8000000000000003,20.1,7.457,5.342140026420079,2.92,8.66668,0.11808500918468491,0.15342662462156048
observation_noise_0p05,202,new_pf,1000,75.3,42.699999999999996,1.3,19.400000000000002,7.762,4.950863213811421,3.02,7.863290000000001,0.08545294490012349,67.9470787344377
observation_noise_0p05,202,new_ppo,1000,76.0,44.3,2.9000000000000004,19.8,7.462,5.352631578947369,2.923,8.45941,0.1133083829224345,0.1581130277698987
observation_noise_0p05,303,new_pf,1000,75.5,44.0,1.3,19.2,7.543,4.683443708609271,2.709,7.872720000000001,0.0886617730485632,66.39464359615764
observation_noise_0p05,303,new_ppo,1000,79.0,46.0,2.4,18.0,7.194,5.430379746835443,2.766,8.75327,0.118820288095824,0.16060417408401492
observation_noise_0p05,404,new_pf,1000,74.9,43.8,1.9,19.6,7.733,4.664886515353805,2.859,7.548770000000001,0.09628300779705762,64.0156456201448
observation_noise_0p05,404,new_ppo,1000,75.4,43.5,3.1,20.5,7.643,5.539787798408488,2.885,8.371469999999999,0.11433287632273069,0.15654368700262722
observation_noise_0p05,555,new_pf,1000,72.89999999999999,43.6,1.4000000000000001,21.3,7.932,4.591220850480109,2.706,7.569960000000001,0.0883330374531711,60.80953219807442
observation_noise_0p05,555,new_ppo,1000,78.10000000000001,43.1,2.7,18.6,7.047,5.297055057618438,2.777,8.21929,0.11377427391510822,0.14920928852273413
observation_noise_0p10,101,new_pf,1000,57.599999999999994,31.6,3.0,35.9,8.809,5.057291666666667,2.746,7.74717,0.13084050875804912,60.38242019209906
observation_noise_0p10,101,new_ppo,1000,61.6,34.2,2.9000000000000004,35.199999999999996,7.221,5.613636363636363,2.815,8.81583,0.1433671983287818,0.14544479350716688
observation_noise_0p10,202,new_pf,1000,58.199999999999996,30.599999999999998,2.4,36.199999999999996,8.713,5.237113402061856,2.778,7.80949,0.12165622485578408,60.78229833042618
observation_noise_0p10,202,new_ppo,1000,64.60000000000001,35.9,2.3,32.0,7.332,5.704334365325077,2.842,8.52231,0.12825543548237847,0.14418869800388193
observation_noise_0p10,303,new_pf,1000,58.599999999999994,32.0,2.8000000000000003,35.3,8.408,5.052901023890785,2.599,7.814960000000001,0.12708195884031903,60.479755951043366
observation_noise_0p10,303,new_ppo,1000,63.7,36.8,2.6,33.2,7.479,5.781789638932496,2.874,9.109720000000001,0.1290413083976019,0.14508376783149923
observation_noise_0p10,404,new_pf,1000,58.5,31.0,3.3000000000000003,34.699999999999996,8.784,4.98974358974359,2.806,7.467740000000001,0.13266427776700224,59.93341410167846
observation_noise_0p10,404,new_ppo,1000,62.7,35.3,3.0,33.6,7.557,5.913875598086125,3.0,8.60861,0.1316410691509962,0.14406884748406515
observation_noise_0p10,555,new_pf,1000,56.3,31.900000000000002,3.1,37.3,8.641,5.0266429840142095,2.601,7.456360000000001,0.1275797423386094,59.16950533105037
observation_noise_0p10,555,new_ppo,1000,62.4,34.1,2.4,34.699999999999996,6.99,5.660256410256411,2.757,8.45706,0.13163556636675375,0.14557984890910652
episode_bias_0p10,101,new_pf,1000,59.099999999999994,33.300000000000004,1.0999999999999999,37.7,6.318,5.04906937394247,3.261,7.886460000000001,0.10896157757916299,60.82123079041204
episode_bias_0p10,101,new_ppo,1000,59.5,32.2,2.8000000000000003,35.699999999999996,7.938,6.020168067226891,2.995,8.5205,0.14372885451122955,0.14705803403522336
