regime,method,seed_runs,tasks_mean,tasks_sd,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,false_stop_rate_percent_mean,false_stop_rate_percent_sd,steps_mean_mean,steps_mean_sd,successful_steps_mean_mean,successful_steps_mean_sd,crossings_mean_mean,crossings_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd,controller_time_ms_per_step_mean_mean,controller_time_ms_per_step_mean_sd
observation_noise_0p05,new_pf,5,1000.0,0.0,74.93999999999998,1.2198360545581544,43.62,0.5403702434442534,1.4600000000000002,0.2509980079602226,19.6,1.0368220676663864,7.739199999999999,0.13820166424468272,4.702918600095074,0.14315952601085088,2.8419999999999996,0.13567792746058585,7.737512000000001,0.16346416937665575,0.08883085703291564,0.00443934644335849,64.4908554089374,2.7747168592102915
observation_noise_0p05,new_ppo,5,1000.0,0.0,76.84,1.6071714283174647,43.94,1.2817956155331476,2.7800000000000002,0.25884358211089575,19.4,1.0559356040971437,7.3606,0.2373948188145647,5.392398841645964,0.09534657122531148,2.8542,0.07705647279755277,8.494024,0.21720667894887574,0.11566416608815647,0.0025843435633864644,0.1555793604001671,0.004410505519500986
observation_noise_0p10,new_pf,5,1000.0,0.0,57.839999999999996,0.9449867723941959,31.419999999999998,0.6016643582596543,2.9200000000000004,0.3420526275297415,35.879999999999995,0.9808159868191386,8.671,0.16097049419070578,5.072738533275421,0.09573947757941395,2.7060000000000004,0.09906815835575018,7.659144,0.18192578440122198,0.12796454251195274,0.004215465279130219,60.14947878125948,0.6266652217191282
observation_noise_0p10,new_ppo,5,1000.0,0.0,63.0,1.1683321445547952,35.26,1.145862120850495,2.64,0.30495901363953826,33.739999999999995,1.264120247444836,7.3158,0.22372237259603703,5.734778475247294,0.11773022352522813,2.8576,0.0904505389702018,8.702706,0.2646677950374776,0.1327881155453024,0.006106243320042655,0.14487319114714392,0.0007046163108436306
episode_bias_0p10,new_pf,5,1000.0,0.0,59.96,0.6503845016603654,32.8,0.7810249675906662,1.4,0.42426406871192857,37.14,0.6228964600958973,6.2787999999999995,0.23739566129143952,5.139341581246198,0.23899882428369812,3.1963999999999997,0.233925842950282,7.7955320000000015,0.15261580314633189,0.11122888395975974,0.0059531442649066214,64.24357180072491,2.9715143962930632
episode_bias_0p10,new_ppo,5,1000.0,0.0,58.660000000000004,1.2837445228704991,32.04,1.5339491516996269,2.8600000000000003,0.2792848008753788,36.3,1.2308533625091194,8.0412,0.1873037639771288,5.937350245327698,0.17482541723614192,3.226,0.1842620416689232,8.474942000000002,0.22193446368241282,0.1436798816367612,0.003877019520583275,0.15364269779629117,0.00643267126506898
random_walk_drift_0p01,new_pf,5,1000.0,0.0,87.78,0.7259476565152643,43.540000000000006,1.6816658407662362,1.1600000000000001,0.270185121722126,9.6,0.6964194138592056,6.1128,0.10109500482219681,4.713455166880955,0.07681735306514433,2.9996,0.118105037995845,7.808538000000001,0.14640825854438666,0.0719351712485163,0.003372007597812737,136.55846639193547,47.59740391370233
random_walk_drift_0p01,new_ppo,5,1000.0,0.0,85.55999999999999,1.165332570556582,44.160000000000004,1.335290230624039,2.7,0.22360679774997902,10.34,1.096813566655701,7.6145999999999985,0.20959914121961493,5.441720876846143,0.23022966120916885,2.9752,0.07820294112116252,8.404414,0.2548797033504236,0.10392660895183337,0.005188915417512041,0.3439893333390564,0.12179518183181728
response_fraction_0p60,new_pf,5,1000.0,0.0,35.900000000000006,1.5620499351813308,17.740000000000002,0.7569676347110224,26.619999999999997,1.7725687574816373,31.76,1.5076471735787529,21.228200000000005,0.5818119971262198,10.400167847604637,0.35818199455735455,1.0906,0.02187007087322768,8.047035999999995,0.14791129344982404,0.6694873510203647,0.025235104853413143,121.71189448398518,18.707243206428952
response_fraction_0p60,new_ppo,5,1000.0,0.0,42.559999999999995,0.33615472627943416,23.639999999999997,0.7956129712366425,18.6,1.2227019260637484,53.38000000000001,0.449444101084883,9.2624,0.1510638937668428,8.335776179382387,0.3339751433033098,2.4818,0.07388639928972035,10.842735999999999,0.18604919895017002,0.3434029728682203,0.02169786835139077,0.3601533825984541,0.051368971344051856
response_fraction_0p70,new_pf,5,1000.0,0.0,59.720000000000006,1.5221695043588293,28.1,1.3397761006974263,8.62,1.2275992831539129,32.260000000000005,2.201817431123661,13.489999999999998,0.6209541045842277,11.507296589363197,0.3515354307639575,1.442,0.02744084546802448,8.10919,0.13949531156995892,0.18276668346099084,0.006032674687214543,115.01982641548099,1.5394337631140023
response_fraction_0p70,new_ppo,5,1000.0,0.0,52.14000000000001,1.3483323032546566,28.120000000000005,1.661926592843378,13.940000000000001,0.8763560920082656,42.38,1.249799983997438,9.0566,0.14509583040184185,7.35578742523455,0.18534463752498592,2.6839999999999997,0.05751521537819367,10.601534,0.1856161573786082,0.29636707160105463,0.011082726321530416,0.351543343786356,0.010621855664242152
actuator_log_sd_0p10,new_pf,5,1000.0,0.0,97.55999999999999,0.37815340802377895,42.56,1.5820872289478862,0.58,0.23874672772626643,1.2799999999999998,0.3271085446759225,5.783600000000001,0.11465949589981618,5.312840456833396,0.1527937247519891,2.6647999999999996,0.13613853238521412,7.887705288887782,0.1532448370454515,0.0621439672068097,0.003513504398104086,135.88797417340757,1.309008638550417
actuator_log_sd_0p10,new_ppo,5,1000.0,0.0,95.11999999999999,0.4919349550499551,42.94,2.366009298375643,2.0599999999999996,0.42778499272414877,1.3800000000000001,0.31144823004794886,7.4686,0.2719398830624151,6.092987166560316,0.17133156491268528,2.711,0.13795470271070853,8.538667784323753,0.21310178845475627,0.09517831312606233,0.01094031671835559,0.34984820373288006,0.007790153059250299
titrant_scale_0p90,new_pf,5,1000.0,0.0,95.08,0.30331501776206565,39.56,1.4275853739794344,1.04,0.28809720581775866,1.92,0.49699094559156703,6.3974,0.19197473792142536,5.0736177992908456,0.07980923345829721,2.966,0.2175683800555585,8.123234,0.15943866667154458,0.07442783427515437,0.00480228001684746,128.207557255454,2.358124329346866
titrant_scale_0p90,new_ppo,5,1000.0,0.0,92.73999999999998,0.9099450532861793,42.1,1.699999999999998,2.58,0.6870225614927069,1.7200000000000002,0.363318042491699,8.172999999999998,0.10545852265227276,5.7985146392805245,0.2511464425601995,3.1078,0.1507753295469785,8.74268,0.13196609772968151,0.10443274740611068,0.0112804436852185,0.3369780072320432,0.008557101666312655
titrant_scale_1p10,new_pf,5,1000.0,0.0,95.18,0.4549725266430909,43.839999999999996,2.4151604501564727,1.3,0.23452078799117157,1.3599999999999999,0.1341640786499874,6.2872,0.14226629959340337,4.7365246282505264,0.0690325166513331,3.4037999999999995,0.13473381164355142,7.598340000000002,0.12479714880557183,0.07251528885456801,0.002738047178969553,127.02126204471331,1.9168653052438693
titrant_scale_1p10,new_ppo,5,1000.0,0.0,92.36000000000001,0.7987490219086347,44.38,1.5801898620102581,3.12,0.25884358211089575,1.64,0.42778499272414866,8.0518,0.3210945343664389,5.445470982801647,0.19793499221579225,3.5354,0.24759503226034235,8.28241,0.16264140124826756,0.1139495133161738,0.00506859204201671,0.33132937151428365,0.008334490682714246
combined_unseen,new_pf,5,1000.0,0.0,36.36,1.928211606644873,19.46,0.5412947441089744,20.72,1.3160547101089686,37.419999999999995,2.709612518423993,18.167400000000004,0.412951328851234,6.048898036410472,0.481832212851264,1.1324,0.024845522735494955,8.244571809212875,0.19564316636807239,0.5263079040285932,0.04231909881431167,107.24826229077351,2.3937294785338445
combined_unseen,new_ppo,5,1000.0,0.0,46.84,1.7401149387324943,25.440000000000005,1.6682325976913421,12.320000000000002,1.008464178838297,49.36,1.474109900923268,8.700800000000001,0.27785733749534103,7.013327874339585,0.189847213601241,2.4434,0.10723245777282189,10.842358064974118,0.12953113253661522,0.26992124443778953,0.0128811227997454,0.32412005245378706,0.009659904346535934
