scenario,candidate,baseline,baseline_method,matched_tasks,success_difference_pp,success_difference_cluster_ci95_low,success_difference_cluster_ci95_high,success_p_value_exact,strict_success_005_difference_pp,strict_success_005_p_value_exact,steps_mean_difference,steps_relative_change_percent,steps_p_value,overshoots_mean_difference,overshoots_relative_change_percent,overshoots_p_value,total_added_ml_mean_difference,total_added_ml_relative_change_percent,total_added_ml_p_value,final_abs_error_mean_difference,final_abs_error_relative_change_percent,final_abs_error_p_value,success_p_value_holm,strict_success_005_p_value_holm,steps_p_value_holm,overshoots_p_value_holm,total_added_ml_p_value_holm,final_abs_error_p_value_holm,clear_success_gain
actuator_over,td3_precision_efficient,bayesian,bayesian_common,1000,6.4,4.5,8.5,6.3117184695685895e-15,9.700000000000001,9.071417366677973e-06,-2.002,-17.103801794105088,1.6472358211884339e-07,1.915,56.90936106983655,7.850910213751589e-76,11.75419489163489,59.63902040009788,8.481822090354016e-132,-0.021284228126819633,-27.307690134256738,2.1755506403836006e-13,5.301843514437615e-13,0.000707570554600882,1.1530650748319038e-05,6.202219068863756e-74,6.446184788669052e-130,1.7404405123068806e-11,True
actuator_random,td3_precision_efficient,bayesian,bayesian_common,1000,3.0,1.4,4.6,2.8288777684792876e-06,9.6,3.89544151170029e-05,-1.095,-10.493531384762822,0.004511978144333229,1.234,43.8365896980462,8.52699911104427e-55,8.25989698204137,43.755929964098065,6.760371440986491e-113,-0.012035331716739029,-18.15457966020456,1.940598788222799e-09,0.00022348134370986372,0.0029215811337752174,0.22108692907232824,6.3099793421727605e-53,4.867467437510274e-111,1.4554490911670993e-07,True
actuator_under,td3_precision_efficient,bayesian,bayesian_common,1000,32.2,28.3,36.1,1.215592971683443e-84,26.900000000000002,6.020446351510422e-36,-16.089,-61.56348052345603,6.334792585292338e-72,1.611,85.23809523809524,1.1070693804560524e-98,5.99773326879393,37.50197926528574,1.0820709116917222e-152,-0.23680053276021618,-80.3020133192952,2.154014239322073e-73,1.0332540259309265e-82,5.117379398783858e-34,5.3845736974984877e-70,9.188675857785235e-97,8.76477438470295e-151,1.830912103423762e-71,True
analyte_high,td3_precision_efficient,bayesian,bayesian_common,1000,88.0,85.3,90.4,5.476896370250283e-263,42.6,3.8314393190350395e-109,-33.546,-73.69993628754094,4.875965348841511e-159,3.108,4638.805970149253,2.7972668643104354e-148,31.428644710563937,126.50829186541935,1.1231037841957174e-163,-2.487823187377113,-97.71675422088653,1.6606049616868828e-162,4.983975696927757e-261,3.486609780321886e-107,4.4371284674457746e-157,2.545512846522496e-146,9.995623679341885e-162,1.5111505151350632e-160,True
analyte_low,td3_precision_efficient,bayesian,bayesian_common,1000,0.6,-0.6,1.9024999999999863,0.28627872467041016,-5.4,0.015042917898077268,2.13,26.79245283018868,1.6490771284753622e-60,0.739,15.71003401360544,1.597715460415884e-29,5.555316985295404,48.043824064088824,4.307072028034537e-89,0.002438242923036703,4.202852613781245,0.01269788664326737,1.0,0.9025750738846361,1.3852247879193043e-58,9.586292762495303e-28,2.756526097942104e-87,0.7872689718825769,False
bias_010,td3_precision_efficient,bayesian,bayesian_common,1000,4.0,-1.3,9.102499999999987,0.0295934876940127,2.9000000000000004,0.14701902188585966,0.362,3.7219823154431246,0.03570274156020395,0.174,4.292057227429686,0.0036046419124389044,7.7318047547063475,37.45837062004734,1.0597959417679452e-105,-0.0007135962016218436,-0.7111284285527917,0.08394385323261108,1.0,1.0,1.0,0.014418567649755618,6.994653215668439e-104,1.0,False
close_pka,td3_precision_efficient,bayesian,bayesian_common,1000,0.0,-0.8,0.8,1.0,5.6000000000000005,0.01233998610728752,-0.557,-5.090011879740477,1.5493002363837662e-06,-0.48,-10.204081632653052,0.0007465940515425197,7.633778864982527,33.26023276294286,1.7490785153946563e-102,-0.004321335974072716,-7.61422861757251,0.0016542374322176545,1.0,0.7527391525445387,0.00010225381560132857,0.004479564309255118,1.1369010350065265e-100,0.10838558273712076,False
close_random_actuator,td3_precision_efficient,bayesian,bayesian_common,1000,4.3,2.9,5.8,6.981082378842984e-11,8.1,0.0004347229737521901,-1.933,-15.207300763118557,0.028860026973858626,0.902,27.42474916387959,1.6406501742574226e-27,8.057355066943137,33.96366599870834,1.3042365392582923e-107,-0.034761123688271806,-40.52615910659266,4.022368899757368e-07,5.654676726862817e-09,0.030865331136405497,1.0,9.515771010693052e-26,8.999232120882216e-106,2.896105607825305e-05,True
drift_001,td3_precision_efficient,bayesian,bayesian_common,1000,1.9,-1.3,5.0,0.21735610630420663,6.0,0.007503832239421958,0.321,3.5128036769533786,0.0020888549299489237,0.167,4.180225281601998,2.487639134745367e-07,7.820846807204158,38.45564119168187,1.0332826473267786e-107,-0.0034162394437329217,-5.475200790895172,0.0201109986056407,1.0,0.4802452633230053,0.11279816621724188,3.2339308751689767e-06,7.23297853128745e-106,1.0,False
high_conc_under,td3_precision_efficient,bayesian,bayesian_common,1000,89.5,85.8,92.6,1.699809381084422e-267,43.3,7.513682960329186e-114,-32.253,-68.98742299794661,1.0236759416160394e-159,2.618,8445.161290322581,3.2545872438554536e-148,33.64146291827754,172.5377046564409,2.0075010131558472e-164,-3.042628237763636,-97.88908949582391,1.0100805268816615e-163,1.5638246305976682e-265,6.987725153106143e-112,9.417818662867563e-158,2.9291285194699083e-146,1.8067509118402626e-162,9.393748899999452e-162,True
large_volume_drift,td3_precision_efficient,bayesian,bayesian_common,1000,66.60000000000001,60.1,72.4,9.839438754724825e-163,37.9,7.580325439706935e-72,-29.932,-73.80594254715818,1.132378900434612e-139,2.549,209.9670510708402,2.559516312476029e-121,18.625794551602777,75.23109927679351,2.3698552940947787e-163,-1.4361885883103032,-96.03748775059202,4.227579383237705e-145,8.560311716610598e-161,6.594883132545034e-70,9.851696433781125e-138,2.2011840287293849e-119,2.0617741058624573e-161,3.677994063416803e-143,True
low_conc_noise,td3_precision_efficient,bayesian,bayesian_common,1000,-5.1,-9.4,-0.9,0.002694293173025681,-2.6,0.24270582247232025,2.427,29.615619280048804,1.6879695367736825e-58,1.126,23.957446808510625,6.583946494363654e-35,5.319944156097803,44.633530587904445,9.595257281650533e-83,0.007148548851818514,10.373106457508399,0.04554878792233978,0.19668340163087472,1.0,1.4010147155221564e-56,4.345404686280012e-33,5.949059514623331e-81,1.0,False
