"seed","candidate","environment_steps","success_rate_percent","successful_steps_mean","overshoot_rate_percent","total_volume_mean","final_error_mean","false_stop_percent"
"303","td3_precision_efficient","20000","80.0","10.9125","22.74573517465475","32.2312030678228","0.15749400143551395","16.0"
"303","td3_precision_efficient","30000","77.0","10.246753246753247","22.31111111111111","30.67309092060857","0.1373473420778726","21.0"
"303","td3_precision_efficient","40000","81.0","9.296296296296296","24.41176470588235","30.935651378425955","0.1305791984086842","17.0"
"303","td3_precision_efficient","50000","87.0","8.597701149425287","27.109704641350213","31.79075982744962","0.1211911717146897","11.0"
"303","td3_precision_efficient","60000","81.0","9.0","25.239005736137667","31.075392975052864","0.12559120365112764","17.0"
"404","sac_precision_efficient","0","83.0","13.301204819277109","15.348837209302326","26.834192546072323","0.08720905916994669","17.0"
"404","sac_precision_efficient","10000","83.0","9.44578313253012","23.886255924170616","29.76227587959774","0.11426802083201176","14.0"
"404","sac_precision_efficient","20000","85.0","9.564705882352941","21.944177093359","29.626239996594755","0.08428533847281647","14.0"
"404","sac_precision_efficient","30000","79.0","8.924050632911392","16.977777777777778","28.361236597728816","0.0934805817504297","16.0"
"404","sac_precision_efficient","40000","85.0","9.152941176470588","23.84378211716341","29.184588131700515","0.10695975698179536","14.0"
"404","sac_precision_efficient","50000","88.0","9.022727272727273","20.747295968534907","29.670126547875135","0.09245932085596725","10.0"
"404","sac_precision_efficient","60000","83.0","8.759036144578314","23.37807606263982","27.641878453106013","0.11975393604462296","17.0"
"404","td3_precision_efficient","0","87.0","15.563218390804598","13.856209150326798","27.65105184797721","0.09204000476741936","12.0"
"404","td3_precision_efficient","10000","83.0","9.397590361445783","44.84848484848485","43.30602321197316","0.10315360317057057","16.0"
"404","td3_precision_efficient","20000","90.0","10.511111111111111","32.606721162579476","40.11077608625247","0.08288102033536994","9.0"
"404","td3_precision_efficient","30000","82.0","10.170731707317072","29.838709677419356","39.25626935823611","0.11854833212093215","16.0"
"404","td3_precision_efficient","40000","85.0","9.75294117647059","27.807486631016044","37.13013021578236","0.09661342614296736","12.0"
"404","td3_precision_efficient","50000","87.0","10.827586206896552","24.414715719063544","35.47461601692903","0.08776076310057977","9.0"
"404","td3_precision_efficient","60000","82.0","9.768292682926829","24.351464435146443","33.84478841456728","0.15844890612396706","12.0"
"555","sac_precision_efficient","0","82.0","11.292682926829269","23.91304347826087","28.5516524380102","0.08828896378904325","15.0"
"555","sac_precision_efficient","10000","81.0","10.320987654320987","31.96955280685062","30.89457926247365","0.10701361760033037","18.0"
"555","sac_precision_efficient","20000","81.0","10.54320987654321","29.545454545454547","29.5999863857864","0.14236795258614435","16.0"
"555","sac_precision_efficient","30000","79.0","10.329113924050633","25.14239218877136","27.821866544586914","0.13242362970078322","15.0"
"555","sac_precision_efficient","40000","84.0","10.952380952380953","25.255972696245735","28.612849937524217","0.08282088282834302","14.0"
"555","sac_precision_efficient","50000","86.0","10.19767441860465","29.466791393826007","28.96054540298671","0.07731140305922818","13.0"
"555","sac_precision_efficient","60000","81.0","9.296296296296296","28.472821397756686","28.812323923480548","0.12856070483970838","14.0"
"555","td3_precision_efficient","0","80.0","10.1125","27.12623097582811","30.05459212461088","0.08847044520474161","18.0"
"555","td3_precision_efficient","10000","81.0","10.814814814814815","26.356589147286822","36.353338226717476","0.14895509371621882","13.0"
