scenario,method,seeds,success_rate_percent_mean,success_rate_percent_seed_sd,strict_success_005_percent_mean,strict_success_005_percent_seed_sd,wide_success_020_percent_mean,wide_success_020_percent_seed_sd,severe_failure_050_percent_mean,severe_failure_050_percent_seed_sd,successful_steps_mean_mean,successful_steps_mean_seed_sd,all_steps_mean_mean,all_steps_mean_seed_sd,steps_p95_mean,steps_p95_seed_sd,steps_cvar95_mean,steps_cvar95_seed_sd,overshoot_rate_percent_mean,overshoot_rate_percent_seed_sd,overshoots_per_task_mean_mean,overshoots_per_task_mean_seed_sd,total_added_ml_mean_mean,total_added_ml_mean_seed_sd,total_added_ml_p95_mean,total_added_ml_p95_seed_sd,final_abs_error_mean_mean,final_abs_error_mean_seed_sd,total_added_ml_cvar95_mean,total_added_ml_cvar95_seed_sd,final_abs_error_p95_mean,final_abs_error_p95_seed_sd,final_abs_error_cvar95_mean,final_abs_error_cvar95_seed_sd,final_signed_error_mean_mean,final_signed_error_mean_seed_sd,false_stop_rate_percent_mean,false_stop_rate_percent_seed_sd,decision_time_ms_mean_mean,decision_time_ms_mean_seed_sd,decision_time_ms_p95_mean,decision_time_ms_p95_seed_sd
bias_010,sac_precision_efficient,5,61.9,3.361547262794322,33.9,3.5249113464029134,90.5,1.8708286933869707,0.9,0.4183300132670378,8.808016912585135,0.614967865892923,9.572000000000001,0.567864420438541,21.809999999999995,1.6448404177913425,33.78181818181818,6.420074405480112,35.75242344617556,2.7708668213889487,3.434,0.4593800169794067,22.290981652230915,1.6985982370375474,41.007135069727994,2.855439680844916,0.09809379923467437,0.008376353169102213,43.77579376076807,3.4491547685883526,0.2290826731320034,0.014660190306145368,0.3683716637015169,0.07881815324612053,-0.0011890545798756507,0.014169230547384885,36.2,3.6674241641784495,4.00352410004416,0.3609744683956444,9.063408999645613,1.3556939392097864
bias_010,td3_precision_efficient,5,62.0,4.962358310319802,34.0,3.952847075210474,90.9,2.6786190471957747,0.8,0.4472135954999579,9.343998021823044,0.7897904963690093,10.088,0.5501090800923036,22.439999999999987,1.6618513772296284,36.72727272727273,4.219690169190975,41.514947591393366,10.509286656077974,4.228,1.256366785616366,28.37286475470635,6.153762681152769,49.22879571564838,7.927169591642622,0.0996334259353057,0.004857710365587437,51.071362314750615,6.883506792894338,0.22615191579511418,0.020360822252945547,0.372327773651251,0.06835309766463807,0.0005986994849358007,0.01029471754922039,35.8,4.982469267341244,5.1015039000994875,0.6325381082516041,11.686962000458141,2.050624092846215
close_pka,sac_precision_efficient,5,98.4,0.9617692030835673,47.4,2.7703790354390136,99.2,0.758287544405155,0.1,0.22360679774997896,9.14508179052654,0.6307348196885931,9.795,0.9582210079099707,22.439999999999987,1.3362260287840544,31.872727272727275,4.823581879553858,35.06009990423484,2.1088234380367954,3.4419999999999997,0.48067140543202685,23.323020203697624,0.8339573872154197,43.74263590755526,1.6691502327734895,0.05347774234666029,0.0034995271249436462,46.00079283741354,1.7604212321552746,0.0958934458906968,0.001920981993804317,0.14137213791395659,0.03784954192915099,-0.002431389554840496,0.008810373971068704,0.0,0.0,4.2821517999400385,0.3212080826569879,9.382545000553359,0.7845969386797732
close_pka,td3_precision_efficient,5,98.7,0.9746794344808964,49.2,7.032069396699666,99.6,0.4183300132670378,0.0,0.0,9.867814810802948,0.5537925221187131,10.386,0.8908380885435917,23.619999999999994,3.3349662666959707,32.52727272727273,6.556304139295413,40.96311926585214,11.531256356840757,4.224,1.1631659382908357,30.585448864982528,5.7822051960002705,53.67091797262481,5.155294987840029,0.052432094886930125,0.004837139352489756,54.149400326508804,4.977456036243618,0.09586891616803904,0.0016822505857060732,0.1261049894565301,0.018594603744726462,0.003962480716747234,0.003938196985793196,0.0,0.0,5.4689924999911455,0.4342090261449872,12.510341000379405,1.4541353772024947
close_random_actuator,sac_precision_efficient,5,99.7,0.27386127875258304,51.1,2.4596747752497685,99.9,0.22360679774997896,0.0,0.0,10.174683417085427,0.6549994358321084,10.294,0.6727313728376282,23.009999999999998,2.133190099358232,29.436363636363637,3.2899797783799163,33.687318603075866,2.517093887653817,3.48,0.4758544945674045,25.15814476973587,1.7575900577340569,46.63361189187761,1.8255370938133217,0.04972152077438134,0.0019264285146361067,49.688966689994814,1.5311001986949189,0.09509330923366527,0.002014644701862029,0.1025853715945387,0.007656591612354299,-0.0021286408610969275,0.005480781925046569,0.0,0.0,4.45741920004366,0.43068718454786553,9.862435001195987,1.2378549945462083
close_random_actuator,td3_precision_efficient,5,99.7,0.6708203932499369,49.7,4.8554093545240855,99.9,0.22360679774997896,0.0,0.0,10.662522842639595,0.8805173238983283,10.778,1.0420928461514363,25.439999999999987,4.4287978052740105,30.763636363636365,7.262663491566681,38.98844838256284,11.238947270437144,4.191,1.2907962658762226,31.78081020647243,6.422773984820936,55.512175548739,7.094820080155548,0.05101340924203244,0.004322203244335966,59.17528704557332,6.544919739433135,0.09403834155699327,0.002568775355701054,0.10244611390935128,0.012229402743657128,0.006335485163693021,0.007179764644576836,0.0,0.0,5.614696200129401,0.766065318337143,12.873258000036001,2.3832030799312105
drift_001,sac_precision_efficient,5,87.5,1.6583123951777,50.0,4.315669125408017,98.1,1.1937336386313322,1.1,0.9617692030835673,8.23377275477094,0.5344597567399249,9.311,0.3263701885895827,22.21999999999999,2.2562690442409647,33.63636363636364,5.52492474052179,37.729304630993,1.5762841081368855,3.512,0.168471065765015,22.21495069638338,1.934450177518576,41.529918950956244,1.3007136755817506,0.06323064076682623,0.004757136497452391,43.896411079821874,2.957034887678245,0.13121005599964983,0.008828808260834913,0.27098151735458725,0.09164514462232994,-0.0030897319806211434,0.00833725377089433,10.5,2.57390753524675,3.978720899845939,0.36862393674631444,9.062180998371328,1.0665374164059997
drift_001,td3_precision_efficient,5,87.3,2.3874672772626644,49.5,6.154266812545585,99.0,0.8660254037844386,0.1,0.22360679774997896,8.562411736160364,1.0874827647336185,9.459,1.0668434749296638,21.409999999999997,2.786664673045541,30.145454545454545,4.749771634353847,43.09333645769789,11.456586269677695,4.162,1.5478476992262515,28.158166807204157,6.467684738617502,49.030868162545346,7.7405268580348485,0.05897853974708429,0.007192831832722454,50.96046058698754,6.655943146878288,0.12791209590960056,0.007221391902263018,0.20403055390278504,0.05576935339634953,0.003163302718337656,0.006901154208151078,11.4,2.1621748310439655,4.978167199973541,0.8632836857681806,11.669017997846813,2.089873624943392
high_conc_under,sac_precision_efficient,5,98.8,0.9082951062292475,45.1,2.329162939770423,99.3,0.8366600265340756,0.1,0.22360679774997896,13.915335325137356,0.9252683481776873,14.343,1.1874478935936523,26.809999999999995,1.305947931580734,33.07272727272727,4.088079829726282,15.213585144208915,1.9746331360724114,2.194,0.4210463157421046,49.93947707003192,1.9651456524917992,103.49992920162366,1.750469378211099,0.05569250516482985,0.002948722824103563,105.22627320861424,1.7912565117414787,0.09615804998852845,0.0006906169789565882,0.13415519144151375,0.05084964400944349,-0.004587472317868747,0.007145727314163307,0.0,0.0,6.088205999993079,0.5150124321509376,12.228390001182554,1.375344115754927
high_conc_under,td3_precision_efficient,5,96.6,3.2672618505409083,45.6,8.539613574395506,97.5,2.850438562747845,1.3,1.5652475842498528,13.28932672826442,1.5423473014625528,14.499,2.6081899854113386,33.05999999999998,12.265062168615366,39.72727272727273,9.07339221465664,19.094972106552735,6.719467791655296,2.649,0.6130599481290554,53.13949842609006,2.792458584277945,109.6552402141901,4.968368060440802,0.06561217333288244,0.017848561576916812,111.32895739622354,3.9276713190676253,0.14453631520816937,0.10323650714237335,0.28716255579380157,0.19374401141712205,0.00042731341008292873,0.009163058753723013,0.0,0.0,7.441683799996099,1.1834921520532138,16.923896999651323,4.836879256985898
large_volume_drift,sac_precision_efficient,5,84.8,1.9557607215607946,46.8,2.3874672772626644,98.9,0.9617692030835673,0.4,0.4183300132670378,9.855757512989637,0.5185245711422591,10.729,0.6797094967704956,21.209999999999997,2.9403231114964252,30.236363636363638,6.412346046353224,28.069185742765622,3.9959671758793567,3.02,0.5371917720888882,37.88573934736113,1.0964344790510856,73.09696338801116,1.2955934351236111,0.06082054529165021,0.0032511846775614655,75.26491037061119,1.6189447706371003,0.13328950491690203,0.010579598797769098,0.2029380516207418,0.04793793363680585,-0.004339784128912585,0.005106407690400445,13.8,1.2041594578792296,4.410561500000767,0.3220963728957766,9.057886000737192,0.9569941088527456
large_volume_drift,td3_precision_efficient,5,85.5,3.605551275463989,48.0,2.7613402542968153,99.1,0.6519202405202649,0.2,0.27386127875258304,9.909828068947702,0.7167152300297236,10.623,0.9015930345782402,21.619999999999994,3.4850753219980843,30.509090909090908,6.529209639182731,35.15699994697197,10.229599186581298,3.763,1.245745760578779,43.38389955160277,4.539493480835158,78.1934302388729,2.933296816406041,0.059257223475261425,0.003214268186591195,80.464052578828,2.64404277911267,0.12827286794777037,0.01160819445363404,0.17302886807659,0.02678185244516224,0.0018483852788075395,0.009013736896746595,13.5,3.588175023601831,5.328915899866843,0.428691964875664,10.882106999270032,1.4480177518093014
low_conc_noise,sac_precision_efficient,5,80.3,0.9746794344808964,47.7,3.383784863137726,96.6,1.3416407864998738,1.7,1.1510864433221337,8.10149639515263,0.3782111513056923,9.667,0.4966462523768802,23.479999999999905,2.4455571962232785,40.581818181818186,5.454772722538075,48.59246815019075,3.2312819927260543,4.698,0.3917205636675207,10.584018253890024,1.3190902037386765,18.83111127637196,2.279262394332358,0.08073699802131422,0.014627669860572413,20.060856254494375,2.7173486309758554,0.1738957820714916,0.019781137225649174,0.5053046157550416,0.23885425783354317,-0.0022814255383537957,0.008421598784144443,16.8,2.018662923818635,3.946933499973966,0.19886945165326012,9.567700000261514,0.880444296175459
