benchmark_seed,subgroup,subgroup_value,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
101,true_pair_count,1,110,5.9363636363636365,1.0291743883390023,0.8904317219141613,0.3797499883154674,0.9761367369451717,0.9434059842603028,86.13212874082438,39.43371699670636,25.16242546364085,91.81818181818183,50.0,0.438574860874051,55,0.602258173446667,0.602258173446667,92.72727272727272,98.18181818181819,0.06088399798954923
202,true_pair_count,1,136,6.75,0.9772012843353596,0.8848925750318916,0.33453092837641224,0.9788671572087759,0.9513521976948082,87.74205334307636,49.01006880642777,30.1938049528677,91.17647058823529,57.35294117647059,0.4439025145693928,78,0.9158386046437945,0.9158386046437945,89.74358974358975,94.85294117647058,0.0705361374896734
303,true_pair_count,1,132,5.598484848484849,1.0814097713613482,0.910608152243132,0.4039720408168415,0.9741978123529459,0.9387084929588745,85.33314511575381,45.677747178371305,22.52807115386328,91.66666666666666,49.24242424242424,0.4469867976802725,65,0.7545931830811562,0.7545931830811562,90.76923076923077,97.72727272727273,0.08218047769108067
404,true_pair_count,1,128,6.890625,0.9466701741784754,0.8255426167742888,0.33010063503041653,0.9791326715741254,0.9515149354875725,87.77659161490683,42.91968514645119,25.34386004577865,89.0625,55.46875,0.4399727022460434,71,0.8121049753963097,0.8121049753963097,92.95774647887323,96.09375,0.07359648778604785
555,true_pair_count,1,129,6.48062015503876,1.1413413248462023,0.9538352806099212,0.4234459551993385,0.9712551552729112,0.9321802250432148,85.08353796523666,54.48299169850092,40.14231914878125,89.14728682170544,48.06201550387597,0.41039698101832955,62,0.7297041189478556,0.7297041189478556,95.16129032258065,96.12403100775194,0.05978230871640229
101,true_pair_count,2,102,6.186274509803922,1.2406971354306415,1.0819190496304572,0.489138696955536,0.9678615530044408,0.9222768643122052,79.0220436000487,44.03932406652481,24.448791272284943,92.15686274509804,28.431372549019606,0.3669812582311756,29,0.6839710099920098,0.7549245181902995,89.65517241379311,97.05882352941177,0.06840283663131125
202,true_pair_count,2,90,6.722222222222222,1.189383351108231,1.1352328682884973,0.4475792245240078,0.9712103089295103,0.9297099760181449,80.39337474120083,42.33271651213295,28.881878072304012,88.88888888888889,21.11111111111111,0.34537605935246085,19,0.9874520559590693,1.0915230117315486,76.31578947368422,92.22222222222223,0.07830386898652301
303,true_pair_count,2,103,7.330097087378641,1.0499575937255232,0.8686297326225149,0.3983551555061145,0.9748754992097475,0.9407447874376982,81.76445757703672,44.09356911923242,25.442274386811825,88.3495145631068,33.00970873786408,0.3645562832933049,34,0.8597754581285556,0.9210497252687098,75.0,94.1747572815534,0.07628283825374
404,true_pair_count,2,98,6.142857142857143,1.198378806780136,1.1602825891447597,0.4547589906003327,0.9700140652587096,0.9279153061226139,81.05590062111801,56.50597329366852,35.913121331055564,88.77551020408163,27.55102040816326,0.36172356793324145,27,0.8020289766336424,0.8750323514465157,70.37037037037037,92.85714285714286,0.07555956069528127
555,true_pair_count,2,105,4.742857142857143,1.2306333280227493,1.198235577832328,0.45162209281228716,0.9699585949475416,0.9295975297022492,81.44927536231884,43.7541614711257,29.201328011799866,92.38095238095238,24.761904761904763,0.36411827409054004,26,0.9328608008670858,1.0290595359890544,90.38461538461539,98.09523809523809,0.0595284993013702
101,true_pair_count,3,88,5.409090909090909,1.2528367245821002,0.97969846782831,0.5284536106331531,0.9636597376198648,0.9028929361972899,77.3927159796725,45.32314478732939,27.242921453472086,89.77272727272727,54.54545454545454,0.3853538027491119,48,1.0124483609194554,1.0892541253329486,90.27777777777777,98.86363636363636,0.05860148927280111
202,true_pair_count,3,74,7.95945945945946,1.3838653099750893,1.0414352889602223,0.6158917411729538,0.9553367718737278,0.8744389886192144,74.54255497733759,49.50281123786642,38.00993181727229,82.43243243243244,63.51351351351351,0.3938343903573012,47,1.0504912535427726,1.1683059451257347,91.48936170212765,91.8918918918919,0.06719641200172322
303,true_pair_count,3,65,4.323076923076923,1.117172455741209,0.9228345501724529,0.44344499484015554,0.9720556479252912,0.9276257869458441,79.48399426660296,42.584454062903156,29.911830133640592,90.76923076923077,61.53846153846154,0.41461434691226356,40,0.8849627870198888,0.9929740196872171,89.16666666666666,96.92307692307692,0.057568883739458
