benchmark_seed,checkpoint_type,observations,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
202,fixed_observation_count,8,300,8.0,1.1549136801177788,0.983905722534866,0.44612455950556956,0.9698127859491763,0.9223698950442867,82.24844720496895,45.15744200900132,30.57246802185822,88.66666666666667,47.66666666666667,0.4048963536024409,143,0.9148728131790759,0.9686773066240325,88.57808857808858,77.33333333333333,0.261891398773518
202,fixed_observation_count,12,300,12.0,1.1491595559742824,0.9836700893561174,0.4429990673571844,0.970157979643314,0.9239130142422076,82.21739130434783,45.26250474212937,30.160439822492815,88.66666666666667,47.66666666666667,0.40464455528193005,143,0.9200184402308798,0.9741723149933464,87.87878787878788,87.66666666666667,0.07679912194641145
202,natural_control_end,natural_end,300,7.04,1.1411663640250211,0.9846802959754066,0.43784775104383783,0.9707659410090177,0.9258876062864961,82.2815734989648,47.128406251227524,31.034453513154933,88.33333333333333,48.0,0.40199444069866397,144,0.9692367301524207,1.0214217208751732,88.54166666666667,93.33333333333333,0.0720426579850339
303,fixed_observation_count,0,300,0.0,1.314677572433369,1.0639819407995215,0.4559597232227164,0.9662209789935997,0.9140593887594889,84.34782608695653,77.6889320171913,45.61987115645168,100.0,44.0,0.3333333333333333,132,1.5176052862531073,1.5176052862531073,100.0,0.0,1.2904540391202386
303,fixed_observation_count,1,300,1.0,1.1473470560862025,0.9701438091429873,0.4119877504220965,0.9737968070843787,0.9367434997846609,83.31884057971014,48.533521687358906,27.317192474363104,91.66666666666666,42.0,0.3695933775776161,126,1.0211260330415977,1.055609633737849,97.88359788359789,11.0,1.374146503128032
303,fixed_observation_count,2,300,2.0,1.0959569578384034,0.9633356144613143,0.4040330042793216,0.9743030271536172,0.9379508100251095,83.46169772256728,45.21295026281928,25.87271777738979,91.0,47.0,0.3844524614916123,141,0.8977552081527601,0.9423136636793646,95.0354609929078,25.333333333333336,0.7814509503657299
303,fixed_observation_count,3,300,3.0,1.0956118835528248,0.918552116677095,0.40707105214398726,0.974003695615523,0.936999649590252,83.30434782608695,45.53016528123144,28.056451794841667,88.66666666666667,44.0,0.38771415039448137,132,0.8481578339371977,0.8899009499979541,93.93939393939394,47.66666666666667,0.6101991758687856
303,fixed_observation_count,5,300,5.0,1.093506627210135,0.9489787323338018,0.4156720900150965,0.973298453384687,0.934895673886283,82.97101449275361,45.66097438277844,28.269511002016728,88.66666666666667,44.666666666666664,0.3981691566536791,134,0.824754579778324,0.8695678326313321,91.29353233830847,63.66666666666667,0.43444128732579146
303,fixed_observation_count,8,300,8.0,1.0855993615250408,0.9280693411078592,0.4141830723388033,0.9735712484199401,0.9357256439220812,82.83436853002071,44.59149796327959,25.417177939211278,89.66666666666666,46.33333333333333,0.41377613418140025,139,0.815376438102453,0.8606411375933007,87.29016786570743,78.66666666666666,0.22347893658056392
303,fixed_observation_count,12,300,12.0,1.0867858814517732,0.8921559340294694,0.4176893634302699,0.9733999627685086,0.9352962316639706,82.70393374741201,44.73276038477606,25.61466946588878,90.0,45.666666666666664,0.41507366470413987,137,0.8004715288864337,0.8463635522966587,86.37469586374696,88.33333333333333,0.08869765944965877
