"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_10000","10000","202","1000202","2526","3","3.738","3.74","2.856","3","0","7.77","2.8871246140996236","2.89","0.03112461409962375","0.03112461409962375","0.03400000000000025","1","1","0","1","0","measured_success","4"
"pf_10000","10000","202","1000202","2684","1","4.468","4.47","2.589","4","3","8.49","2.512160636158754","2.5100000000000002","-0.07683936384124612","0.07683936384124612","0.07899999999999974","1","0","0","1","0","measured_success","5"
"pf_10000","10000","202","1000202","2842","3","3.649","3.65","5.173","8","0","20.669999999999998","5.131521485817972","5.13","-0.04147851418202819","0.04147851418202819","0.04300000000000015","1","1","0","1","0","measured_success","9"
"pf_10000","10000","202","1000202","3000","3","4.14","4.14","5.711","2","0","5.109999999999999","5.664738928149424","5.66","-0.046261071850576485","0.046261071850576485","0.051000000000000156","1","1","0","1","0","measured_success","3"
"pf_10000","10000","303","1000303","1","2","4.135","4.14","3.816","1","0","1.94","3.8410281822892145","3.84","0.025028182289214662","0.025028182289214662","0.02400000000000002","1","1","0","1","0","measured_success","2"
"pf_10000","10000","303","1000303","159","1","5.055","5.06","4.744","3","1","4.02","4.660031528057246","4.66","-0.08396847194275381","0.08396847194275381","0.08399999999999963","1","0","0","1","0","measured_success","4"
"pf_10000","10000","303","1000303","317","2","4.234","4.23","7.283","11","0","25.249999999999996","7.225492971242394","7.23","-0.05750702875760627","0.05750702875760627","0.052999999999999936","1","0","0","1","0","measured_success","12"
"pf_10000","10000","303","1000303","475","3","4.899","4.9","3.922","5","0","6.04","3.977656482292395","3.98","0.05565648229239484","0.05565648229239484","0.05799999999999983","1","0","0","1","0","measured_success","6"
"pf_10000","10000","303","1000303","632","1","7.613","7.61","3.977","12","7","19.960000000000008","3.877566130537012","3.88","-0.09943386946298771","0.09943386946298771","0.09699999999999998","1","0","0","1","0","measured_success","13"
"pf_10000","10000","303","1000303","790","2","2.52","2.52","2.018","11","0","7.35","2.1072205883790716","2.11","0.08922058837907176","0.08922058837907176","0.09200000000000008","1","0","0","1","0","measured_success","12"
"pf_10000","10000","303","1000303","948","1","4.683","4.68","4.093","2","1","3.96","4.03751378992048","4.04","-0.05548621007952015","0.05548621007952015","0.052999999999999936","1","0","0","1","0","measured_success","3"
"pf_10000","10000","303","1000303","1106","2","2.614","2.61","3.737","3","0","3.78","3.671841869095414","3.67","-0.06515813090458611","0.06515813090458611","0.06700000000000017","1","0","0","1","0","measured_success","4"
"pf_10000","10000","303","1000303","1264","3","4.275","4.28","3.92","3","1","4.029999999999999","3.8818446031775027","3.88","-0.038155396822497245","0.038155396822497245","0.040000000000000036","1","1","0","1","0","measured_success","4"
"pf_10000","10000","303","1000303","1422","2","3.916","3.92","2.333","4","3","7.04","2.285818315251209","2.29","-0.04718168474879114","0.04718168474879114","0.04300000000000015","1","1","0","1","0","measured_success","5"
"pf_10000","10000","303","1000303","1579","3","3.719","3.72","5.532","4","0","5.779999999999999","5.480598418059651","5.48","-0.051401581940348606","0.051401581940348606","0.0519999999999996","1","0","0","1","0","measured_success","5"
"pf_10000","10000","303","1000303","1737","1","5.828","5.83","6.357","3","1","4.98","6.429327112335923","6.43","0.07232711233592237","0.07232711233592237","0.07299999999999951","1","0","0","1","0","measured_success","4"
"pf_10000","10000","303","1000303","1895","2","4.264","4.26","3.929","3","0","1.7500000000000002","4.0195835616133575","4.0200000000000005","0.09058356161335768","0.09058356161335768","0.09100000000000064","1","0","0","1","0","measured_success","4"
"pf_10000","10000","303","1000303","2053","2","5.339","5.34","3.528","5","0","12.26","3.5899621406374864","3.59","0.061962140637486396","0.061962140637486396","0.06199999999999983","1","0","0","1","0","measured_success","6"
"pf_10000","10000","303","1000303","2211","1","6.27","6.27","4.433","5","2","9.65","4.448570879325899","4.45","0.015570879325899512","0.015570879325899512","0.017000000000000348","1","1","0","1","0","measured_success","6"
"pf_10000","10000","303","1000303","2369","1","5.15","5.15","3.969","3","2","5.21","4.006662461227876","4.01","0.037662461227875976","0.037662461227875976","0.040999999999999925","1","1","0","1","0","measured_success","4"
