task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000555,569,diprotic,near,acid,separated,2,7.316,6.861,0,0,,1,0,0,1,0,3,0,0.09702432682292805,3.72,3.72,0.0,6.958024326822928,6.96,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,570,triprotic,near,base,separated,3,4.085,4.649,0,0,,1,0,0,1,0,10,0,0.0792799672142257,5.890000000000001,0.0,5.890000000000001,4.569720032785774,4.57,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,571,diprotic,near,acid,separated,2,2.149,1.754,0,0,,1,0,0,1,0,1,0,0.051425048352971015,3.06,3.06,0.0,1.805425048352971,1.81,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,572,diprotic,medium,acid,separated,2,3.486,1.61,2,0,0.525,1,1,0,1,0,4,2,0.005761782603222576,9.110000000000001,8.06,1.05,1.6157617826032227,1.62,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,573,triprotic,medium,base,separated,3,6.045,7.305,0,0,,1,1,0,1,0,1,0,0.049195930706689595,4.02,0.0,4.02,7.25580406929331,7.26,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,574,monoprotic,medium,base,single,1,5.791,7.107,4,1,0.135,1,1,0,1,0,6,4,0.039990110786390254,9.61,4.029999999999999,5.58,7.06700988921361,7.07,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,575,diprotic,medium,acid,separated,2,6.83,4.925,0,0,,1,0,0,1,0,6,0,0.0935759893000272,11.979999999999999,11.979999999999999,0.0,5.018575989300027,5.0200000000000005,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,576,monoprotic,medium,acid,single,1,6.947,5.478,5,4,0.085,1,0,0,1,0,10,5,0.061876921618734926,9.780000000000001,5.590000000000001,4.19,5.416123078381265,5.42,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,577,monoprotic,near,base,single,1,6.551,6.777,1,1,1.03,1,1,0,1,0,3,1,0.031933123759190885,3.7,1.6400000000000001,2.06,6.808933123759191,6.8100000000000005,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,578,diprotic,near,base,separated,2,6.005,6.48,2,1,0.515,1,0,0,1,0,3,2,0.07910548414719187,3.5200000000000005,1.03,2.49,6.4008945158528086,6.4,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,579,triprotic,near,acid,overlapping,3,5.264,4.82,2,1,0.515,1,1,0,1,0,2,2,0.042632170922150436,3.09,2.06,1.03,4.862632170922151,4.86,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,580,triprotic,near,acid,separated,3,2.466,1.873,0,0,,1,0,0,1,0,2,0,0.06253197014620393,4.16,4.16,0.0,1.935531970146204,1.94,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,581,monoprotic,near,acid,single,1,3.005,2.683,2,2,0.515,1,1,0,1,0,3,2,0.008035744860930727,3.6000000000000005,2.5700000000000003,1.03,2.6910357448609306,2.69,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,582,triprotic,medium,base,separated,3,4.241,5.028,0,0,,1,0,0,1,0,4,0,0.06348643293385248,6.43,0.0,6.43,4.964513567066147,4.96,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,583,triprotic,near,acid,separated,3,5.223,4.811,2,2,0.515,1,1,0,1,0,3,2,0.005631139515935857,3.6000000000000005,2.5700000000000003,1.03,4.816631139515936,4.82,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,584,monoprotic,medium,acid,single,1,5.861,4.824,3,2,0.13,1,1,0,1,0,4,3,0.04386574275639177,3.89,3.37,0.52,4.780134257243608,4.78,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,585,diprotic,medium,base,separated,2,6.943,8.166,5,0,0.025,1,1,0,1,0,8,5,0.03033091415514022,11.96,5.73,6.2299999999999995,8.19633091415514,8.2,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,586,triprotic,near,base,overlapping,3,1.603,1.994,0,0,,1,0,0,1,0,4,0,0.06642968654397685,4.31,0.0,4.31,1.9275703134560231,1.93,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,587,monoprotic,medium,base,single,1,3.383,4.223,0,0,,1,1,0,1,0,2,0,0.046843913901502,4.77,0.0,4.77,4.176156086098498,4.18,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,588,diprotic,far,base,overlapping,2,2.219,6.164,44,21,0.01,0,0,0,0,0,50,44,0.2942784857648473,23.010000000000026,4.279999999999996,18.730000000000032,5.869721514235152,5.87,max_steps,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,589,diprotic,near,acid,separated,2,4.586,3.966,3,2,0.255,1,1,0,1,0,3,3,0.03520335645523254,3.6000000000000005,2.5700000000000003,1.03,3.9307966435447677,3.93,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,590,diprotic,medium,acid,separated,2,3.452,2.434,1,1,0.515,1,1,0,1,0,3,1,0.0008615199209600632,4.7299999999999995,4.22,0.51,2.43313848007904,2.43,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,591,monoprotic,medium,acid,single,1,5.116,4.207,0,0,,1,0,0,1,0,4,0,0.09152234742605803,5.77,5.77,0.0,4.298522347426058,4.3,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,592,triprotic,medium,acid,separated,3,5.453,3.53,1,1,0.525,1,1,0,1,0,4,1,0.006119232469833147,8.13,7.61,0.52,3.5238807675301667,3.52,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,593,diprotic,medium,base,separated,2,7.309,9.109,5,3,0.02,1,0,0,1,0,14,5,0.07851388239070367,12.329999999999998,5.829999999999999,6.5,9.187513882390704,9.19,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,594,monoprotic,far,base,single,1,6.981,9.159,5,1,0.01,1,1,0,1,0,10,5,0.028378198566544555,10.629999999999999,3.94,6.6899999999999995,9.187378198566545,9.19,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,595,diprotic,medium,acid,separated,2,2.943,2.048,1,0,0.93,1,1,0,1,0,2,1,0.01183799546858122,5.05,5.05,0.0,2.036162004531419,2.04,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,596,monoprotic,far,acid,single,1,5.356,3.117,2,0,0.55,1,0,0,1,0,3,2,0.08084272682418447,9.53,8.43,1.1,3.1978427268241845,3.2,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,597,monoprotic,medium,base,single,1,2.51,4.12,0,0,,1,0,0,1,0,2,0,0.05804797744652479,4.819999999999999,0.0,4.819999999999999,4.061952022553475,4.0600000000000005,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,598,triprotic,medium,base,separated,3,2.335,3.114,0,0,,1,0,0,1,0,4,0,0.07593029355919434,6.43,0.0,6.43,3.0380697064408055,3.04,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,599,triprotic,medium,acid,separated,3,4.729,3.108,0,0,,1,0,0,1,0,6,0,0.06222504129912343,12.67,12.67,0.0,3.1702250412991235,3.17,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,600,diprotic,medium,acid,overlapping,2,4.228,2.292,0,0,,1,1,0,1,0,3,0,0.016755534033999986,12.32,12.32,0.0,2.308755534034,2.31,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,601,monoprotic,medium,acid,single,1,4.346,3.551,1,1,1.03,1,0,0,1,0,2,1,0.058646753073897884,3.09,2.06,1.03,3.4923532469261023,3.49,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,602,diprotic,medium,base,separated,2,6.933,8.117,5,1,0.06,1,1,0,1,0,7,5,0.019173983933200134,10.600000000000001,3.99,6.61,8.136173983933201,8.14,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,603,triprotic,near,base,overlapping,3,3.594,3.841,0,0,,1,0,0,1,0,2,0,0.05892126581438273,3.1100000000000003,0.0,3.1100000000000003,3.7820787341856175,3.7800000000000002,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,604,monoprotic,medium,base,single,1,4.381,5.898,5,1,0.035,1,0,0,1,0,7,5,0.08746711073786884,9.19,3.9699999999999998,5.22,5.9854671107378685,5.99,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,605,diprotic,near,base,separated,2,4.014,4.514,0,0,,1,1,0,1,0,1,0,0.02840463499663226,2.06,0.0,2.06,4.485595365003368,4.49,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,606,diprotic,near,base,separated,2,4.069,4.35,0,0,,1,0,0,1,0,1,0,0.05363311598061671,2.06,0.0,2.06,4.296366884019383,4.3,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,607,triprotic,medium,base,overlapping,3,2.732,3.555,0,0,,1,0,0,1,0,42,0,0.09490743151959213,24.719999999999974,0.0,24.719999999999974,3.460092568480408,3.46,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,608,diprotic,medium,acid,separated,2,3.675,2.167,1,0,1.595,1,1,0,1,0,1,1,0.019385997005310962,3.19,3.19,0.0,2.147614002994689,2.15,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,609,monoprotic,medium,acid,single,1,6.617,5.171,5,3,0.03,1,0,0,1,0,9,5,0.07955891255147218,9.59,5.48,4.11,5.091441087448528,5.09,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,610,triprotic,medium,acid,separated,3,6.866,5.68,0,0,,1,0,0,1,0,9,0,0.06794887356389445,10.22,10.22,0.0,5.747948873563894,5.75,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
