algorithm,initialization,seed,task_seed,task_id,acid_type,pka_values,initial_ph,target_ph,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,final_measured_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph
ppo,random,101,200101,4,triprotic,"[3.5037697251652107, 4.323228493807566, 7.055351928865466]",2.26,10.07,0,0,1,0,0,50,0,6.381623224552023,6.381623224552023,8.499999999999998,0.0,8.499999999999998,3.6883767754479777,3.6883767754479777
ppo,random,101,200101,5,triprotic,"[2.1329643906716775, 4.811145269359487, 6.116266845325613]",1.62,7.76,0,0,1,0,0,50,0,5.0306791175805845,5.0306791175805845,8.499999999999998,0.0,8.499999999999998,2.7293208824194153,2.7293208824194153
ppo,random,101,200101,6,triprotic,"[2.14779984139429, 5.485698115163724, 7.105457641222138]",1.63,9.7,0,0,1,0,0,50,0,6.944502301575266,6.944502301575266,8.499999999999998,0.0,8.499999999999998,2.7554976984247332,2.7554976984247332
ppo,random,101,200101,7,triprotic,"[3.2747843141653457, 4.509575846817149, 6.561194824179966]",2.15,8.95,0,0,1,0,0,50,0,5.355078613235673,5.355078613235673,8.499999999999998,0.0,8.499999999999998,3.5949213867643266,3.5949213867643266
ppo,random,101,200101,8,diprotic,"[2.0974069331405136, 5.170605643533603]",1.61,7.17,0,0,1,0,0,50,0,4.459733038160193,4.459733038160193,8.499999999999998,0.0,8.499999999999998,2.7102669618398068,2.7102669618398068
ppo,random,101,200101,9,monoprotic,[2.771062100409859],1.91,8.97,0,0,1,0,0,50,0,5.6463716405912425,5.6463716405912425,8.499999999999998,0.0,8.499999999999998,3.323628359408758,3.323628359408758
ppo,random,101,200101,10,diprotic,"[3.7305758397908093, 4.921833026867874]",2.37,5.74,0,0,1,0,0,50,0,1.7054122902793463,1.7054122902793463,8.499999999999998,0.0,8.499999999999998,4.034587709720654,4.034587709720654
a2c,imitation,101,200101,1,triprotic,"[2.664294825590957, 4.5640348064121445, 7.030719132633347]",1.86,7.83,1,1,0,1,0,9,0,0.02343386811669923,0.02343386811669923,31.420000000000005,0.0,31.420000000000005,7.806566131883301,7.806566131883301
a2c,imitation,101,200101,2,triprotic,"[3.952126665278123, 4.8450968165931005, 7.79703747230857]",2.48,2.76,1,1,0,1,0,2,1,0.007038147649145898,0.007038147649145898,1.0,0.26,0.74,2.7670381476491457,2.7670381476491457
a2c,imitation,101,200101,3,triprotic,"[2.021968104508721, 4.4501176047476925, 6.9751266258394455]",1.58,9.72,1,0,0,1,0,15,8,0.06452201891690557,0.06452201891690557,39.65999999999999,3.3299999999999996,36.32999999999999,9.655477981083095,9.655477981083095
a2c,imitation,101,200101,4,triprotic,"[3.5037697251652107, 4.323228493807566, 7.055351928865466]",2.26,10.07,1,0,0,1,0,15,8,0.06486855790019064,0.06486855790019064,40.72,3.84,36.88,10.00513144209981,10.00513144209981
a2c,imitation,101,200101,5,triprotic,"[2.1329643906716775, 4.811145269359487, 6.116266845325613]",1.62,7.76,1,0,0,1,0,10,2,0.0905492668878285,0.0905492668878285,33.86,0.5800000000000001,33.28,7.669450733112171,7.669450733112171
a2c,imitation,101,200101,6,triprotic,"[2.14779984139429, 5.485698115163724, 7.105457641222138]",1.63,9.7,1,0,0,1,0,16,7,0.09707402922213149,0.09707402922213149,40.589999999999996,3.79,36.8,9.79707402922213,9.79707402922213
a2c,imitation,101,200101,7,triprotic,"[3.2747843141653457, 4.509575846817149, 6.561194824179966]",2.15,8.95,1,0,0,1,0,14,6,0.0778809132054441,0.0778809132054441,36.05,1.55,34.5,8.872119086794555,8.872119086794555
a2c,imitation,101,200101,8,diprotic,"[2.0974069331405136, 5.170605643533603]",1.61,7.17,1,0,0,1,0,11,5,0.08397012848407037,0.08397012848407037,26.189999999999998,2.14,24.049999999999997,7.25397012848407,7.25397012848407
a2c,imitation,101,200101,9,monoprotic,[2.771062100409859],1.91,8.97,0,0,1,0,0,50,44,1.3552704763412482,1.3552704763412482,29.68000000000002,9.339999999999995,20.34000000000003,7.614729523658752,7.614729523658752
a2c,imitation,101,200101,10,diprotic,"[3.7305758397908093, 4.921833026867874]",2.37,5.74,1,1,0,1,0,8,0,0.032754112539114644,0.032754112539114644,20.42,0.0,20.42,5.707245887460886,5.707245887460886
a2c,random,101,200101,1,triprotic,"[2.664294825590957, 4.5640348064121445, 7.030719132633347]",1.86,7.83,0,0,1,0,0,50,0,4.686625991589681,4.686625991589681,8.499999999999998,0.0,8.499999999999998,3.143374008410319,3.143374008410319
