seed,algorithm,reward_variant,environment_steps,success_rate_percent,successful_steps_mean,overshoot_rate_percent,final_abs_error_mean
202,reinforce,no_volume_shaping,25014,82.4,10.24635922330097,18.47714509993358,0.49008294816479575
202,reinforce,no_terminal,0,94.7,8.635691657866948,41.57188236499641,0.06766303201225395
202,reinforce,no_terminal,5009,94.0,9.354255319148937,37.68565519834555,0.06477588255258829
202,reinforce,no_terminal,10004,94.4,9.284957627118644,38.45266698702547,0.06701951892655823
202,reinforce,no_terminal,15033,83.7,10.121863799283155,20.2718006795017,0.4388621995580893
202,reinforce,no_terminal,20002,73.4,9.986376021798366,12.565497783151955,0.780613642302627
202,reinforce,no_terminal,25005,72.9,11.176954732510287,11.98226967256089,0.7366845252928035
202,reinforce,simple_progress,0,94.7,8.635691657866948,41.57188236499641,0.06766303201225395
202,reinforce,simple_progress,5003,86.6,8.689376443418015,22.804780876494025,0.29777319141810266
202,reinforce,simple_progress,10013,81.2,9.139162561576354,17.099926866564722,0.4744772705512116
202,reinforce,simple_progress,15039,83.5,9.377245508982035,19.280116512934324,0.3569548604914718
202,reinforce,simple_progress,20004,79.1,9.007585335018963,17.256189994946944,0.566198109582488
202,reinforce,simple_progress,25003,87.6,8.872146118721462,26.854670725845217,0.251448488648229
303,reinforce,full,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,full,5002,92.9,8.709364908503767,42.73813108501455,0.06578984918697747
303,reinforce,full,10014,93.7,8.810032017075773,42.6036089629189,0.06749017395575936
303,reinforce,full,15020,80.4,8.874378109452737,21.101684021082402,0.8125424887883618
303,reinforce,full,20012,79.5,9.724528301886792,18.806783767413688,0.7506109116738195
303,reinforce,full,25003,77.8,9.641388174807197,16.514614445929457,0.8727358021765124
303,reinforce,step_penalty_minus_0p005,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,step_penalty_minus_0p005,5016,94.4,8.615466101694915,44.31760783917567,0.0627141243635256
303,reinforce,step_penalty_minus_0p005,10006,93.5,8.697326203208556,45.52870090634441,0.06517212157629441
303,reinforce,step_penalty_minus_0p005,15006,94.4,8.620762711864407,44.97161394971614,0.06103200746037354
303,reinforce,step_penalty_minus_0p005,20002,95.2,8.546218487394958,45.10503773200082,0.06265005442567137
303,reinforce,step_penalty_minus_0p005,25007,94.1,8.600425079702445,43.90739236393176,0.06172734761264901
303,reinforce,no_dense,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,no_dense,5001,94.0,8.648936170212766,39.998009554140125,0.06874883543295814
303,reinforce,no_dense,10003,93.9,8.519701810436635,38.684130368565334,0.06829154431441549
303,reinforce,no_dense,15001,93.9,8.464323748668797,39.513552509533135,0.065039055618237
303,reinforce,no_dense,20005,93.5,8.759358288770054,35.7456782888954,0.07288111648697708
303,reinforce,no_dense,25003,91.7,9.069792802617231,30.043936731107205,0.10754252878808791
303,reinforce,no_overshoot,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,no_overshoot,5002,95.3,8.61909758656873,44.6468326249747,0.06309882087784337
303,reinforce,no_overshoot,10010,94.2,10.38004246284501,34.56256358087487,0.07527484256165727
303,reinforce,no_overshoot,15003,93.2,10.285407725321889,33.88109000825764,0.09305375044455517
303,reinforce,no_overshoot,20002,94.8,8.748945147679326,43.72074494572254,0.06039397498946562
303,reinforce,no_overshoot,25015,94.8,8.690928270042194,43.16648202235875,0.0619650823520173
303,reinforce,no_volume_shaping,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,no_volume_shaping,5002,93.6,8.634615384615385,43.89773764837172,0.06464630763219885
303,reinforce,no_volume_shaping,10016,94.5,8.717460317460317,44.330621673194734,0.06178528712483092
303,reinforce,no_volume_shaping,15007,93.6,8.790598290598291,43.98171155948713,0.06357082693342568
303,reinforce,no_volume_shaping,20005,93.8,8.792110874200427,44.53655613264083,0.06388140937346569
303,reinforce,no_volume_shaping,25006,94.8,8.523206751054852,45.26466673492372,0.06341088402236883
303,reinforce,no_terminal,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,no_terminal,5020,89.1,9.065095398428731,31.018556701030928,0.20313687979903652
303,reinforce,no_terminal,10040,69.9,8.513590844062946,12.114438980777827,0.7738740195085154
303,reinforce,no_terminal,15022,64.4,9.159937888198758,8.642404238686701,0.8891976139950659
303,reinforce,no_terminal,20009,63.3,11.721958925750394,7.730315588141536,0.8089629052764815
303,reinforce,no_terminal,25000,64.9,12.224961479198768,8.168175515863306,0.7451218246264951
303,reinforce,simple_progress,0,93.8,8.786780383795309,43.547110055423595,0.06762726470575113
303,reinforce,simple_progress,5011,93.6,8.832264957264957,41.206896551724135,0.07851670848596694
303,reinforce,simple_progress,10018,92.2,8.649674620390455,37.18118269412432,0.11629878317322305
303,reinforce,simple_progress,15003,90.5,8.98121546961326,34.81222707423581,0.1522635912744462
303,reinforce,simple_progress,20032,90.6,10.487858719646798,28.386408654578698,0.14195166817332733
