algorithm,initialization,seed,environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
a2c,imitation,303,15001,1000,87.1,33.300000000000004,7.3,0.0,7.572904707233065,4.07108115650657,13.046,6.787,19.130190000000002,0.16402744476302278
a2c,imitation,303,20016,1000,83.89999999999999,32.300000000000004,10.299999999999999,0.0,7.579261025029798,4.474067300814128,14.409,6.554,18.45414,0.2570917132155
a2c,imitation,303,25006,1000,85.3,33.300000000000004,8.4,0.0,7.473622508792497,3.9853983057475197,13.725,6.654,18.67751,0.21910319243476262
a2c,random,303,0,1000,53.6,20.5,39.1,0.0,18.184701492537314,15.236375225235978,32.947,21.224,181.51708000000002,1.0320976167454803
a2c,random,303,5010,1000,51.4,27.200000000000003,38.9,0.0,17.1284046692607,12.2081943921063,33.104,16.315,124.85639000000002,0.9333270711843208
a2c,random,303,10019,1000,54.0,25.6,32.9,0.0,15.262962962962963,10.543545120556029,31.242,14.599,97.23002000000002,0.8665031639542012
a2c,random,303,15028,1000,55.800000000000004,27.0,33.0,0.0,10.105734767025089,9.393335967067683,27.739,15.709,72.96639000000002,0.8462524094471056
a2c,random,303,20012,1000,49.6,24.0,37.1,0.0,18.375,13.601860389689568,34.314,13.083,24.36294000000001,0.845729172722978
a2c,random,303,25045,1000,49.6,24.3,37.1,0.0,18.368951612903224,13.607594571039186,34.311,13.083,24.363560000000014,0.8456672026714835
a2c,imitation,404,0,1000,88.4,37.3,6.0,0.0,7.611990950226244,4.0132725574684756,12.529,7.005,19.598100000000002,0.12346207341773899
a2c,imitation,404,5016,1000,88.3,34.599999999999994,6.4,0.0,7.619479048697622,3.9406229235178283,12.578,6.703,19.585180000000005,0.1349703051153847
a2c,imitation,404,10036,1000,88.3,35.099999999999994,6.5,0.0,7.731596828992073,4.03040997791829,12.677,6.778,19.613570000000003,0.13095055551757775
a2c,imitation,404,15000,1000,86.7,34.5,7.9,0.0,7.6943483275663205,4.222452127722297,13.321,6.699,19.611110000000004,0.17043171053231404
a2c,imitation,404,20041,1000,87.3,37.3,6.7,0.0,7.5372279495990835,4.002441928309911,12.93,6.744,19.895520000000005,0.15179645453137897
a2c,imitation,404,25018,1000,88.1,36.5,6.1,0.0,7.525539160045403,4.016963372671601,12.58,6.682,20.140370000000004,0.13235414144163354
a2c,random,404,0,1000,24.099999999999998,6.5,63.2,0.0,14.024896265560166,15.44612284447765,41.33,37.838,382.83707000000004,1.5704022256510597
a2c,random,404,5035,1000,47.0,25.4,41.4,0.0,14.242553191489362,12.182194435780108,33.194,23.382,172.82932,1.1723758243280626
a2c,random,404,10005,1000,42.199999999999996,16.8,39.800000000000004,0.0,15.476303317535544,14.95116857921236,35.431,28.355,186.25936,0.8378111924771234
a2c,random,404,15037,1000,51.5,25.2,38.800000000000004,0.0,13.74368932038835,12.299454844637419,31.328,17.296,105.59692999999999,0.9686265214692061
a2c,random,404,20040,1000,57.199999999999996,26.700000000000003,32.6,0.0,13.729020979020978,10.302856816655165,29.253,13.07,52.152350000000006,0.8129931411740708
a2c,random,404,25016,1000,62.2,30.7,28.999999999999996,0.0,14.310289389067524,11.940614877468787,27.801,15.463,39.528430000000014,0.8363952463695397
a2c,imitation,555,0,1000,88.1,34.699999999999996,7.000000000000001,0.0,7.584562996594778,4.0561331306533495,12.632,7.037,19.53046,0.1384107304229618
a2c,imitation,555,5040,1000,85.9,33.0,8.4,0.0,7.619324796274738,4.323530135234617,13.595,7.087,19.198270000000004,0.21633462433915673
a2c,imitation,555,10003,1000,82.5,33.2,11.600000000000001,0.0,7.632727272727273,5.321886067466371,15.047,6.721,18.853450000000002,0.3658817531536988
a2c,imitation,555,15027,1000,77.8,27.900000000000002,17.299999999999997,0.0,7.769922879177378,6.735470199622557,17.145,6.092,17.345550000000003,0.5565439395272149
a2c,imitation,555,20010,1000,79.0,29.299999999999997,15.7,0.0,8.169620253164556,7.179155053537465,16.954,6.01,17.340739999999997,0.41583135215413447
a2c,imitation,555,25016,1000,80.80000000000001,29.799999999999997,14.099999999999998,0.0,9.258663366336634,9.057638602107541,17.081,5.995,17.34835,0.3292948145263357
a2c,random,555,0,1000,27.400000000000002,8.4,63.5,0.0,19.78102189781022,15.498890579919257,41.72,25.586,245.52317,1.5756917635146848
a2c,random,555,5033,1000,39.6,13.200000000000001,51.800000000000004,0.0,23.82323232323232,14.78740708372544,39.634,2.605,16.315230000000007,1.3395655806886662
a2c,random,555,10000,1000,34.9,14.899999999999999,56.39999999999999,0.0,13.638968481375358,11.78745071400982,37.31,23.221,163.83389,1.204163438620018
a2c,random,555,15006,1000,47.099999999999994,21.5,37.2,0.0,13.768577494692144,10.380810338857088,32.935,18.99,38.36558,0.8333191835872149
a2c,random,555,20032,1000,45.6,20.7,39.7,0.0,13.25219298245614,10.066809550245683,33.243,20.099,37.56459,1.0634164152874583
a2c,random,555,25009,1000,45.6,20.7,39.7,0.0,13.25219298245614,10.066809550245683,33.243,20.099,37.56459,1.0634164152874583
ppo,imitation,101,0,1000,88.0,35.099999999999994,6.5,0.0,7.7102272727272725,3.944309123887777,12.785,7.179,20.35947,0.13113851865977777
ppo,imitation,101,5016,1000,88.0,33.6,6.0,0.0,7.734090909090909,4.022657286089378,12.806,7.15,20.353270000000006,0.12360711044613765
ppo,imitation,101,10014,1000,87.6,32.1,6.800000000000001,0.0,7.686073059360731,3.9431198802578655,12.933,7.133,20.345080000000003,0.13588272745917113
ppo,imitation,101,15020,1000,87.3,33.800000000000004,7.3,0.0,7.670103092783505,3.97483334292629,13.046,7.039,20.303780000000003,0.14672002947759374
ppo,imitation,101,20004,1000,87.8,35.4,6.1,0.0,7.716400911161731,4.055260224997985,12.875,6.984,20.53911,0.12369119902082966
ppo,imitation,101,25041,1000,87.7,33.2,6.2,0.0,7.763968072976055,4.112035652138603,12.959,7.095,20.360410000000005,0.12797935336032298
ppo,random,101,0,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
ppo,random,101,5041,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
ppo,random,101,10006,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
ppo,random,101,15023,1000,36.1,6.0,51.0,0.0,24.2797783933518,15.135750759769572,40.715,6.2,15.356860000000019,1.1702371700287413
ppo,random,101,20008,1000,23.0,3.2,70.1,0.0,22.98695652173913,17.012320332586558,43.787,3.973,12.187690000000005,1.8261107731198314
ppo,random,101,25032,1000,21.8,3.0,72.6,0.0,22.027522935779817,16.86758334882106,43.902,2.799,11.032560000000004,2.0997926297548086
ppo,imitation,202,0,1000,88.2,36.0,6.0,0.0,7.524943310657596,4.090901180821105,12.537,7.138,19.569840000000003,0.1266205468694867
ppo,imitation,202,5012,1000,88.4,36.199999999999996,6.3,0.0,7.5633484162895925,4.069811586775829,12.486,7.128,19.678060000000006,0.12366297112807675
ppo,imitation,202,10003,1000,88.3,36.6,6.800000000000001,0.0,7.583238958097395,4.050507643863052,12.546,7.138,19.704510000000003,0.1300894808618768
ppo,imitation,202,15046,1000,88.2,36.3,6.800000000000001,0.0,7.481859410430839,3.962968445448676,12.499,6.995,19.90726,0.12874252374467846
ppo,imitation,202,20008,1000,88.2,35.6,6.7,0.0,7.568027210884353,4.133748366658293,12.575,7.03,19.9004,0.13352899522892825
ppo,imitation,202,25028,1000,88.2,33.900000000000006,5.8999999999999995,0.0,7.569160997732427,4.0589136476429175,12.576,7.014,19.589470000000002,0.126335346962342
ppo,random,202,0,1000,31.900000000000002,10.7,53.6,0.0,9.818181818181818,10.432992923313394,37.182,16.86,45.22631,2.488877512675108
ppo,random,202,5017,1000,35.699999999999996,12.6,44.4,0.0,10.246498599439775,10.63018652304583,35.808,27.422,73.11108000000002,0.9985797964287647
ppo,random,202,10004,1000,34.0,14.099999999999998,49.0,0.0,9.01764705882353,8.899950965634547,36.066,19.583,52.913920000000005,2.0243609834961345
