"spectrum_number","wavelength_nm","absorbance"
"3","753.005188","0.085090913"
"4","753.005188","0.086366378"
"5","753.005188","0.085773624"
"6","753.005188","0.081539005"
"7","753.005188","0.06143517"
"8","753.005188","0.057143744"
"9","753.005188","0.03941898048"
"10","753.005188","0.032164458"
"11","753.005188","0.017966021"
"1","752.0155029","0.087319285"
"2","752.0155029","0.088372827"
"3","752.0155029","0.084186777"
"4","752.0155029","0.086093165"
"5","752.0155029","0.086997457"
"6","752.0155029","0.080310255"
"7","752.0155029","0.059628148"
"8","752.0155029","0.055524919"
"9","752.0155029","0.04134378582"
"10","752.0155029","0.029464003"
"11","752.0155029","0.01627776"
"1","750.9901733","0.089398548"
"2","750.9901733","0.090222605"
"3","750.9901733","0.086445972"
"4","750.9901733","0.088170893"
"5","750.9901733","0.087088771"
"6","750.9901733","0.082075156"
"7","750.9901733","0.063250847"
"8","750.9901733","0.056885645"
"9","750.9901733","0.04179511964"
"10","750.9901733","0.031831943"
"11","750.9901733","0.018179238"
"1","749.9998169","0.090558127"
"2","749.9998169","0.090269387"
"3","749.9998169","0.085338995"
"4","749.9998169","0.089369327"
"5","749.9998169","0.088662311"
"6","749.9998169","0.082484402"
"7","749.9998169","0.064431787"
"8","749.9998169","0.059533428"
"9","749.9998169","0.04148340225"
"10","749.9998169","0.031237235"
"11","749.9998169","0.018786941"
"1","749.0090942","0.089398548"
"2","749.0090942","0.090533093"
"3","749.0090942","0.08436998"
"4","749.0090942","0.088046312"
"5","749.0090942","0.088005573"
"6","749.0090942","0.081269898"
"7","749.0090942","0.06096562"
"8","749.0090942","0.056921735"
"9","749.0090942","0.03797256947"
"10","749.0090942","0.032213688"
"11","749.0090942","0.016948584"
"1","747.9825439","0.087327957"
"2","747.9825439","0.086712651"
"3","747.9825439","0.084231466"
"4","747.9825439","0.087626822"
"5","747.9825439","0.085999087"
"6","747.9825439","0.081888445"
"7","747.9825439","0.06223435"
"8","747.9825439","0.056610178"
"9","747.9825439","0.04099193588"
"10","747.9825439","0.029944085"
"11","747.9825439","0.018006735"
"1","746.9911499","0.087831602"
"2","746.9911499","0.087661602"
"3","746.9911499","0.083269998"
"4","746.9911499","0.087422416"
"5","746.9911499","0.085677095"
"6","746.9911499","0.080748424"
"7","746.9911499","0.061393783"
"8","746.9911499","0.057384569"
"9","746.9911499","0.04076190665"
"10","746.9911499","0.031817514"
"11","746.9911499","0.017977137"
"1","745.9993896","0.085932828"
"2","745.9993896","0.087084405"
"3","745.9993896","0.083132297"
"4","745.9993896","0.087117054"
"5","745.9993896","0.085989207"
"6","745.9993896","0.080967702"
"7","745.9993896","0.061441939"
"8","745.9993896","0.056694649"
"9","745.9993896","0.04057383165"
"10","745.9993896","0.030747609"
"11","745.9993896","0.017168868"
"1","745.0072632","0.087269284"
"2","745.0072632","0.087892413"
"3","745.0072632","0.083701529"
"4","745.0072632","0.087387279"
"5","745.0072632","0.087235831"
"6","745.0072632","0.081206225"
"7","745.0072632","0.063252345"
"8","745.0072632","0.057559259"
"9","745.0072632","0.03917453811"
"10","745.0072632","0.031058412"
"11","745.0072632","0.018682048"
"1","744.0146484","0.08612065"
"2","744.0146484","0.088529617"
"3","744.0146484","0.084100939"
"4","744.0146484","0.085585259"
"5","744.0146484","0.085786432"
"6","744.0146484","0.079228789"
"7","744.0146484","0.063278787"
"8","744.0146484","0.058064669"
"9","744.0146484","0.03935699165"
"10","744.0146484","0.030817633"
"11","744.0146484","0.017688466"
"1","742.9863892","0.084385604"
"2","742.9863892","0.085794531"
"3","742.9863892","0.082591802"
"4","742.9863892","0.084919654"
"5","742.9863892","0.084174424"
"6","742.9863892","0.079801068"
"7","742.9863892","0.061498184"
"8","742.9863892","0.055817239"
"9","742.9863892","0.0409216173"
"10","742.9863892","0.030570125"
"11","742.9863892","0.017556077"
"1","741.9931641","0.084857896"
"2","741.9931641","0.085819423"
"3","741.9931641","0.084030502"
"4","741.9931641","0.08599107"
"5","741.9931641","0.085429996"
"6","741.9931641","0.080210887"
"7","741.9931641","0.061990943"
"8","741.9931641","0.05669916"
"9","741.9931641","0.04097546265"
"10","741.9931641","0.031095728"
"11","741.9931641","0.017457491"
"1","740.9995728","0.085220605"
"2","740.9995728","0.085842669"
"3","740.9995728","0.081788585"
"4","740.9995728","0.085708469"
"5","740.9995728","0.084822901"
"6","740.9995728","0.078586526"
"7","740.9995728","0.061415967"
"8","740.9995728","0.054960344"
"9","740.9995728","0.04008353502"
"10","740.9995728","0.030361539"
"11","740.9995728","0.016862623"
"1","740.0056763","0.082817502"
"2","740.0056763","0.085743569"
"3","740.0056763","0.081414841"
"4","740.0056763","0.083939202"
"5","740.0056763","0.082992204"
"6","740.0056763","0.077642478"
"7","740.0056763","0.06128291"
"8","740.0056763","0.056034476"
"9","740.0056763","0.04195925966"
"10","740.0056763","0.030459072"
"11","740.0056763","0.01745598"
"1","739.0114136","0.083559237"
"2","739.0114136","0.085128009"
"3","739.0114136","0.080626763"
"4","739.0114136","0.083940893"
"5","739.0114136","0.084722184"
"6","739.0114136","0.078193456"
"7","739.0114136","0.062668078"
"8","739.0114136","0.055516712"
"9","739.0114136","0.03868454695"
"10","739.0114136","0.030677512"
"11","739.0114136","0.017769469"
"1","738.0168457","0.081646673"
"2","738.0168457","0.084015965"
"3","738.0168457","0.08114244"
"4","738.0168457","0.084430628"
"5","738.0168457","0.084802762"
"6","738.0168457","0.077752836"
"7","738.0168457","0.061918214"
