"spectrum_number","wavelength_nm","absorbance"
"8","738.0168457","0.056042869"
"9","738.0168457","0.03905373067"
"10","738.0168457","0.030149475"
"11","738.0168457","0.01659739"
"1","736.9863281","0.082295947"
"2","736.9863281","0.084891073"
"3","736.9863281","0.080273785"
"4","736.9863281","0.083501317"
"5","736.9863281","0.08454974"
"6","736.9863281","0.077527903"
"7","736.9863281","0.061558343"
"8","736.9863281","0.055928435"
"9","736.9863281","0.03987813368"
"10","736.9863281","0.029863304"
"11","736.9863281","0.017339287"
"1","735.9909668","0.082344323"
"2","735.9909668","0.084144041"
"3","735.9909668","0.080325983"
"4","735.9909668","0.083733954"
"5","735.9909668","0.083149508"
"6","735.9909668","0.079033822"
"7","735.9909668","0.062331811"
"8","735.9909668","0.057080742"
"9","735.9909668","0.03964081034"
"10","735.9909668","0.031454287"
"11","735.9909668","0.017609043"
"1","734.9953003","0.081131645"
"2","734.9953003","0.083829015"
"3","734.9953003","0.079270355"
"4","734.9953003","0.084016368"
"5","734.9953003","0.084354669"
"6","734.9953003","0.078617141"
"7","734.9953003","0.062169768"
"8","734.9953003","0.056331884"
"9","734.9953003","0.03870916739"
"10","734.9953003","0.031170703"
"11","734.9953003","0.017681537"
"1","733.9992676","0.080739819"
"2","733.9992676","0.082983896"
"3","733.9992676","0.080099769"
"4","733.9992676","0.082915902"
"5","733.9992676","0.082116432"
"6","733.9992676","0.077997968"
"7","733.9992676","0.061856486"
"8","733.9992676","0.055160485"
"9","733.9992676","0.03998682648"
"10","733.9992676","0.030626733"
"11","733.9992676","0.016172828"
"1","733.0029297","0.078844845"
"2","733.0029297","0.081536941"
"3","733.0029297","0.080184795"
"4","733.0029297","0.081909634"
"5","733.0029297","0.081958093"
"6","733.0029297","0.076792248"
"7","733.0029297","0.061148997"
"8","733.0029297","0.05360765"
"9","733.0029297","0.03826738521"
"10","733.0029297","0.030115625"
"11","733.0029297","0.016681012"
"1","732.0062256","0.081897162"
"2","732.0062256","0.083876297"
"3","732.0062256","0.080279641"
"4","732.0062256","0.08354295"
"5","732.0062256","0.083581544"
"6","732.0062256","0.078222618"
"7","732.0062256","0.062569402"
"8","732.0062256","0.056845073"
"9","732.0062256","0.03920442984"
"10","732.0062256","0.0321256"
"11","732.0062256","0.019292485"
"1","731.0092163","0.07764712"
"2","731.0092163","0.080884427"
"3","731.0092163","0.077520259"
"4","731.0092163","0.081827715"
"5","731.0092163","0.080253139"
"6","731.0092163","0.076614037"
"7","731.0092163","0.061143305"
"8","731.0092163","0.053925175"
"9","731.0092163","0.03992367908"
"10","731.0092163","0.029215133"
"11","731.0092163","0.015789589"
"1","730.0117798","0.079390459"
"2","730.0117798","0.082019873"
"3","730.0117798","0.078474961"
"4","730.0117798","0.082354739"
"5","730.0117798","0.082637675"
"6","730.0117798","0.076962806"
"7","730.0117798","0.061288513"
"8","730.0117798","0.05605774"
"9","730.0117798","0.03711432591"
"10","730.0117798","0.030781202"
"11","730.0117798","0.017733766"
"1","729.0139771","0.077328905"
"2","729.0139771","0.082304396"
"3","729.0139771","0.078287616"
"4","729.0139771","0.082404062"
"5","729.0139771","0.082421832"
"6","729.0139771","0.075627916"
"7","729.0139771","0.060406901"
"8","729.0139771","0.056152884"
"9","729.0139771","0.03912244365"
"10","729.0139771","0.030877024"
"11","729.0139771","0.017125379"
"1","728.0159302","0.077690765"
"2","728.0159302","0.080577366"
"3","728.0159302","0.07670752"
"4","728.0159302","0.080509029"
"5","728.0159302","0.079609081"
"6","728.0159302","0.075804062"
"7","728.0159302","0.061223384"
"8","728.0159302","0.054149266"
"9","728.0159302","0.03873992711"
"10","728.0159302","0.02951243"
"11","728.0159302","0.016768634"
"1","727.0174561","0.075894907"
"2","727.0174561","0.079703897"
"3","727.0174561","0.076160669"
"4","727.0174561","0.079988934"
"5","727.0174561","0.081075728"
"6","727.0174561","0.075544588"
"7","727.0174561","0.060137548"
"8","727.0174561","0.054971244"
"9","727.0174561","0.03924480453"
"10","727.0174561","0.030057197"
"11","727.0174561","0.01817419"
"1","725.9829712","0.076757096"
"2","725.9829712","0.080734983"
"3","725.9829712","0.077250689"
"4","725.9829712","0.080286957"
"5","725.9829712","0.081066623"
"6","725.9829712","0.077395692"
"7","725.9829712","0.062234052"
"8","725.9829712","0.055252109"
"9","725.9829712","0.03992725536"
"10","725.9829712","0.03148362"
"11","725.9829712","0.017561601"
"1","724.9838867","0.075187221"
"2","724.9838867","0.079024978"
"3","724.9838867","0.076855153"
"4","724.9838867","0.081306852"
"5","724.9838867","0.08073131"
"6","724.9838867","0.075008281"
"7","724.9838867","0.059387621"
"8","724.9838867","0.053637173"
"9","724.9838867","0.03841673583"
"10","724.9838867","0.030008793"
"11","724.9838867","0.017271725"
"1","723.984375","0.075931288"
"2","723.984375","0.077467009"
"3","723.984375","0.075170293"
"4","723.984375","0.079961702"
"5","723.984375","0.079434559"
"6","723.984375","0.075049385"
"7","723.984375","0.058816761"
"8","723.984375","0.054115899"
"9","723.984375","0.03875218332"
"10","723.984375","0.029865634"
"11","723.984375","0.01829073"
"1","722.9846191","0.076823264"
"2","722.9846191","0.078574486"
"3","722.9846191","0.075323097"
"4","722.9846191","0.080659673"
"5","722.9846191","0.079760067"
"6","722.9846191","0.075099602"
"7","722.9846191","0.060312964"
"8","722.9846191","0.054389842"
"9","722.9846191","0.03740173206"
"10","722.9846191","0.029698489"
"11","722.9846191","0.017278675"
"1","721.984436","0.074347459"
"2","721.984436","0.07880906"
"3","721.984436","0.075200826"
"4","721.984436","0.078463666"
"5","721.984436","0.078686953"
"6","721.984436","0.073226668"
"7","721.984436","0.06046075"
"8","721.984436","0.055135328"
