experiment,acid_type,true_buffer_count,step,current_pH,target_pH_x,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices,stage,steps_taken,success,final_pH,target_pH_y,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
2921,diprotic,2,1,3.39,3.3,0.0900000000000003,0.19767343389433986,0.201971414786624,2.0795555271947817,2.3742170946088264,3.2251364373213476,0.0,0.5,0.0,0.0,2.0737112922689627,0.01769488660437115,1.0,1.3322503346577288,"[2.4239, 3.7117, 3.0237]","[0.2020, 0.1935, 0.1976]","[0.0156, 0.3990, 0.4663]","[2.4215, 3.7281, 3.0190]","[3.9576, 6.9369]","[1, 2]",[0],up_to_8_steps,1,True,3.39,3.3,0.0900000000000003,2.0795555271947817,0.19767343389433986,0.01769488660437115
2922,monoprotic,1,21,6.19,6.29,0.09999999999999964,0.22331779272515995,0.26720978529339967,1.0709234881676624,1.0709234881676624,1.0709234881676624,0.0,0.0,0.0,0.0,1.0350499848614763,0.7559758574984686,1.0,1.3716401013638828,"[5.9745, 5.0468, 3.8009]","[0.2672, 0.1673, 0.2355]","[0.0610, 0.1374, 0.0640]","[5.9920, 5.0221, 3.7650]",[2.7300],[2],"[0, 1]",final,21,True,6.19,6.29,0.09999999999999964,1.0709234881676624,0.22331779272515995,0.7559758574984686
2922,monoprotic,1,0,2.18,6.29,4.109999999999999,0.20000000000000004,0.2,1.0285321449846458,1.0285321449846458,1.0285321449846458,0.0,0.0,0.0,0.0,1.0285321449846458,0.7538953302812615,0.0,,"[5.9950, 5.0172, 3.7585]","[0.2000, 0.2000, 0.2000]","[0.0614, 0.1353, 0.0642]","[5.9950, 5.0172, 3.7585]",[2.7300],[2],"[0, 1]",initial,21,True,6.19,6.29,0.09999999999999964,1.0709234881676624,0.22331779272515995,0.7559758574984686
2922,monoprotic,1,8,5.49,6.29,0.7999999999999998,0.1889182112049993,0.20190053456045634,1.0331714631762865,1.0331714631762865,1.0331714631762865,0.0,0.0,0.0,0.0,1.0292823788809478,0.7545277112974693,0.0,0.6698268985003235,"[5.9833, 5.0740, 3.7632]","[0.2019, 0.1710, 0.1938]","[0.0598, 0.1360, 0.0637]","[5.9931, 5.0266, 3.7593]",[2.7300],[2],"[0, 1]",up_to_8_steps,21,True,6.19,6.29,0.09999999999999964,1.0709234881676624,0.22331779272515995,0.7559758574984686
2923,diprotic,2,13,9.14,9.17,0.02999999999999936,0.2029048796930831,0.22017300259420283,1.7285413527361402,2.045202426075093,2.821700881581112,0.0,0.5,0.0,0.0,1.6808950198923636,0.2111096930873696,1.0,5.57355022976175,"[3.4657, 3.3167, 3.4615]","[0.2202, 0.1928, 0.1958]","[0.0543, 0.2214, 0.0738]","[3.4909, 3.2466, 3.4488]","[2.6813, 6.2874]","[0, 1]",[2],final,13,True,9.14,9.17,0.02999999999999936,1.7285413527361402,0.2029048796930831,0.2111096930873696
2923,diprotic,2,0,3.33,9.17,5.84,0.20000000000000004,0.2,1.671783474044308,2.0122799110251544,2.7917881419933965,0.0,0.5,0.0,0.0,1.671783474044308,0.214507648684206,0.0,,"[3.4956, 3.2331, 3.4464]","[0.2000, 0.2000, 0.2000]","[0.0529, 0.2208, 0.0747]","[3.4956, 3.2331, 3.4464]","[2.6813, 6.2874]","[0, 1]",[2],initial,13,True,9.14,9.17,0.02999999999999936,1.7285413527361402,0.2029048796930831,0.2111096930873696
2923,diprotic,2,8,8.02,9.17,1.1500000000000004,0.19938431867989612,0.2185694819768141,1.6969222007709819,2.0295919119519135,2.810339630844353,0.0,0.5,0.0,0.0,1.6758142625583483,0.21164126025901073,0.0,4.463559641018509,"[3.4771, 3.2648, 3.4573]","[0.2186, 0.1907, 0.1889]","[0.0546, 0.2201, 0.0737]","[3.4927, 3.2382, 3.4482]","[2.6813, 6.2874]","[0, 1]",[2],up_to_8_steps,13,True,9.14,9.17,0.02999999999999936,1.7285413527361402,0.2029048796930831,0.2111096930873696
2924,monoprotic,1,50,8.7,8.57,0.129999999999999,0.2173500121062073,0.23473383384989654,0.34070936473107327,0.34070936473107327,0.34070936473107327,1.0,1.0,1.0,1.0,0.3123377690453015,0.603716462224863,0.0,4.634886003378778,"[4.7246, 5.8453, 2.0693]","[0.2250, 0.2347, 0.1923]","[0.2468, 0.3085, 0.3645]","[4.6900, 5.7091, 2.0977]",[2.4100],[2],"[0, 1]",final,50,False,8.7,8.57,0.129999999999999,0.34070936473107327,0.2173500121062073,0.603716462224863
2924,monoprotic,1,0,1.68,8.57,6.890000000000001,0.20000000000000004,0.2,0.3068528285132328,0.3068528285132328,0.3068528285132328,1.0,1.0,1.0,1.0,0.3068528285132328,0.6034486556123436,0.0,,"[4.6837, 5.6843, 2.1031]","[0.2000, 0.2000, 0.2000]","[0.2346, 0.3127, 0.3596]","[4.6837, 5.6843, 2.1031]",[2.4100],[2],"[0, 1]",initial,50,False,8.7,8.57,0.129999999999999,0.34070936473107327,0.2173500121062073,0.603716462224863
2924,monoprotic,1,8,4.27,8.57,4.300000000000001,0.20016030578478652,0.2167436426295078,0.31976036274695874,0.31976036274695874,0.31976036274695874,1.0,1.0,1.0,1.0,0.3089430849654433,0.6040477535961097,0.0,0.21715639762580352,"[4.6492, 5.7257, 2.0902]","[0.1911, 0.2167, 0.1926]","[0.2347, 0.3141, 0.3597]","[4.6781, 5.6908, 2.1011]",[2.4100],[2],"[0, 1]",up_to_8_steps,50,False,8.7,8.57,0.129999999999999,0.34070936473107327,0.2173500121062073,0.603716462224863
2925,triprotic,3,2,4.62,4.55,0.07000000000000028,0.20606847018506003,0.20692652932857272,1.3598589812776591,1.361476500863273,1.4319985344479056,0.0,0.0,0.0,0.0,1.3564169726536959,0.0,1.0,0.1713005149550737,"[5.3378, 3.9764, 4.4720]","[0.2067, 0.2045, 0.2069]","[0.1793, 0.3260, 0.2356]","[5.3288, 3.9728, 4.4878]","[2.6006, 5.7439, 6.7698]","[0, 1, 2]",[],final,2,True,4.62,4.55,0.07000000000000028,1.3598589812776591,0.20606847018506003,0.0
2925,triprotic,3,0,2.16,4.55,2.3899999999999997,0.20000000000000004,0.2,1.3557646572280746,1.3580183256261897,1.4426911721102655,0.0,0.0,0.0,0.0,1.3557646572280746,0.0,0.0,,"[5.3271, 3.9722, 4.4908]","[0.2000, 0.2000, 0.2000]","[0.1790, 0.3262, 0.2361]","[5.3271, 3.9722, 4.4908]","[2.6006, 5.7439, 6.7698]","[0, 1, 2]",[],initial,2,True,4.62,4.55,0.07000000000000028,1.3598589812776591,0.20606847018506003,0.0
2925,triprotic,3,2,4.62,4.55,0.07000000000000028,0.20606847018506003,0.20692652932857272,1.3598589812776591,1.361476500863273,1.4319985344479056,0.0,0.0,0.0,0.0,1.3564169726536959,0.0,1.0,0.1713005149550737,"[5.3378, 3.9764, 4.4720]","[0.2067, 0.2045, 0.2069]","[0.1793, 0.3260, 0.2356]","[5.3288, 3.9728, 4.4878]","[2.6006, 5.7439, 6.7698]","[0, 1, 2]",[],up_to_8_steps,2,True,4.62,4.55,0.07000000000000028,1.3598589812776591,0.20606847018506003,0.0
2926,monoprotic,1,24,9.26,9.35,0.08999999999999986,0.21262511601676692,0.23218500558201424,0.7220800556098235,0.7220800556098235,0.7220800556098235,0.0,1.0,0.0,1.0,0.7476072449764359,0.4800050696260434,1.0,5.185696722930297,"[3.9911, 5.6221, 2.9243]","[0.2322, 0.1830, 0.2227]","[0.1368, 0.2896, 0.1305]","[3.9834, 5.6476, 2.9011]",[4.9000],[1],"[0, 2]",final,24,True,9.26,9.35,0.08999999999999986,0.7220800556098235,0.21262511601676692,0.4800050696260434
2926,monoprotic,1,0,2.05,9.35,7.3,0.20000000000000004,0.2,0.7526077974411614,0.7526077974411614,0.7526077974411614,0.0,1.0,0.0,1.0,0.7526077974411614,0.47214921966499085,0.0,,"[3.9819, 5.6526, 2.8968]","[0.2000, 0.2000, 0.2000]","[0.1332, 0.2936, 0.1295]","[3.9819, 5.6526, 2.8968]",[4.9000],[1],"[0, 2]",initial,24,True,9.26,9.35,0.08999999999999986,0.7220800556098235,0.21262511601676692,0.4800050696260434
2926,monoprotic,1,8,10.63,9.35,1.2800000000000011,0.21178627125144836,0.2175376092543625,0.7825280836078417,0.7825280836078417,0.7825280836078417,0.0,1.0,0.0,1.0,0.7573102499710229,0.4671084246985847,0.0,6.547232810985298,"[4.0036, 5.6825, 2.9434]","[0.2093, 0.2175, 0.2086]","[0.1304, 0.2935, 0.1269]","[3.9854, 5.6573, 2.9042]",[4.9000],[1],"[0, 2]",up_to_8_steps,24,True,9.26,9.35,0.08999999999999986,0.7220800556098235,0.21262511601676692,0.4800050696260434
2927,triprotic,3,18,9.78,9.79,0.009999999999999787,0.20408058077818744,0.2429151174818849,0.7928268347581086,0.9971789182295134,1.631821935093944,0.3333333333333333,0.6666666666666666,0.0,0.0,0.7808743949456091,0.0,1.0,1.6217358398437494,"[5.6093, 4.4049, 4.0016]","[0.1826, 0.1868, 0.2429]","[0.4477, 0.1805, 0.3721]","[5.6515, 4.4240, 3.9888]","[3.4842, 4.1756, 7.2412]","[0, 1, 2]",[],final,18,True,9.78,9.79,0.009999999999999787,0.7928268347581086,0.20408058077818744,0.0
2927,triprotic,3,0,2.86,9.79,6.93,0.20000000000000004,0.2,0.7785935817590862,0.9689410132851942,1.5813483902350214,0.3333333333333333,0.6666666666666666,0.0,0.0,0.7785935817590862,0.0,0.0,,"[5.6598, 4.4277, 3.9865]","[0.2000, 0.2000, 0.2000]","[0.4509, 0.1837, 0.3740]","[5.6598, 4.4277, 3.9865]","[3.4842, 4.1756, 7.2412]","[0, 1, 2]",[],initial,18,True,9.78,9.79,0.009999999999999787,0.7928268347581086,0.20408058077818744,0.0
2927,triprotic,3,8,8.87,9.79,0.9199999999999999,0.20889621507836623,0.22327064675294897,0.7772902536266696,0.9814791096087546,1.6119991277748085,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7783858584924613,0.0,0.0,3.1559518080949776,"[5.6292, 4.4085, 3.9711]","[0.2080, 0.1954, 0.2233]","[0.4505, 0.1852, 0.3723]","[5.6549, 4.4246, 3.9841]","[3.4842, 4.1756, 7.2412]","[0, 1, 2]",[],up_to_8_steps,18,True,9.78,9.79,0.009999999999999787,0.7928268347581086,0.20408058077818744,0.0
2928,triprotic,3,50,2.82,3.19,0.3700000000000001,0.09169171422762072,0.1259589650412146,1.5675607463784822,1.9178528264763846,2.7750220002733665,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3577571438669918,0.0,0.0,0.04384716453962012,"[3.5785, 2.4813, 2.1997]","[0.0651, 0.0841, 0.1260]","[0.1668, 0.3197, 0.3338]","[3.7582, 3.0744, 2.0563]","[2.3046, 4.3041, 6.3536]","[0, 1, 2]",[],final,50,False,2.82,3.19,0.3700000000000001,1.5675607463784822,0.09169171422762072,0.0
2928,triprotic,3,0,3.32,3.19,0.1299999999999999,0.20000000000000004,0.2,1.3097625175322591,1.6127730892687424,2.5539849530747274,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3097625175322591,0.0,0.0,,"[3.7996, 3.2075, 2.0259]","[0.2000, 0.2000, 0.2000]","[0.1096, 0.3152, 0.2831]","[3.7996, 3.2075, 2.0259]","[2.3046, 4.3041, 6.3536]","[0, 1, 2]",[],initial,50,False,2.82,3.19,0.3700000000000001,1.5675607463784822,0.09169171422762072,0.0
2928,triprotic,3,8,1.83,3.19,1.3599999999999999,0.21472429939296803,0.2234435450113379,1.2974254481394818,1.5990352685792837,2.5265076758765446,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3078021426678546,0.0,0.0,0.6339372355304658,"[3.8270, 3.2000, 2.0429]","[0.2129, 0.2234, 0.2078]","[0.1086, 0.3149, 0.2841]","[3.8039, 3.2063, 2.0286]","[2.3046, 4.3041, 6.3536]","[0, 1, 2]",[],up_to_8_steps,50,False,2.82,3.19,0.3700000000000001,1.5675607463784822,0.09169171422762072,0.0
2929,monoprotic,1,8,3.89,3.88,0.010000000000000231,0.19295330742790004,0.21143927835970147,0.49761088550660926,0.49761088550660926,0.49761088550660926,1.0,1.0,1.0,1.0,0.4890264642817179,0.43508949612471554,1.0,2.0855752489157022,"[2.1153, 4.6164, 5.3924]","[0.1912, 0.2114, 0.1762]","[0.0721, 0.3068, 0.4919]","[2.1046, 4.6161, 5.4010]",[5.8900],[2],"[0, 1]",final,8,True,3.89,3.88,0.010000000000000231,0.49761088550660926,0.19295330742790004,0.43508949612471554
