experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
49,triprotic,3,12,True,10.08,10.13,0.05000000000000071,1.1019232812203887,0.21666158260731394,0.0
56,diprotic,2,11,True,10.25,10.33,0.08000000000000007,0.7088191186178743,0.19127741965379663,0.6073063307232434
57,triprotic,3,7,True,5.09,5.07,0.019999999999999574,0.9588206895640412,0.040469790665657396,0.0
58,triprotic,3,7,True,9.01,9.09,0.08000000000000007,1.6462833239906438,0.2036873909990018,0.0
62,monoprotic,1,10,True,6.45,6.45,0.0,0.801978518903804,0.21130759070061153,0.871311423240971
61,diprotic,2,12,True,9.63,9.56,0.07000000000000028,0.9771175985646485,0.19237451239652972,0.4169873505398305
63,triprotic,3,3,True,3.93,4.0,0.06999999999999984,2.1034449743865027,0.21268351339500127,0.0
59,monoprotic,1,25,True,5.98,5.98,0.0,0.30113978285550624,0.15439633243603232,0.6954714099212493
60,diprotic,2,23,True,8.87,8.96,0.09000000000000163,0.38669900214852904,0.21292117556018023,0.15442163177780038
64,diprotic,2,3,True,2.99,3.05,0.05999999999999961,0.16721113343341498,0.19696591699392396,0.36951040937534796
67,triprotic,3,8,True,5.57,5.64,0.0699999999999994,1.464246023609526,0.2133913042759735,0.0
66,diprotic,2,17,True,8.82,8.86,0.03999999999999915,0.6436417144075015,0.2094492220554327,0.04561751467192289
68,diprotic,2,7,True,4.75,4.82,0.07000000000000028,0.6215378813149603,0.17754892103021466,0.22898924881927654
69,diprotic,2,10,True,7.14,7.22,0.08000000000000007,1.0980981562395502,0.21427046937054461,0.222681403442395
70,monoprotic,1,3,True,4.64,4.67,0.03000000000000025,0.24481654152167165,0.20052153864501313,0.5808958912795601
65,monoprotic,1,27,True,9.03,8.98,0.049999999999998934,0.16792307944547336,0.21736090568702923,0.49718438952956984
73,diprotic,2,11,True,10.44,10.35,0.08999999999999986,0.42048195662741983,0.20352718708986794,0.6295566510075421
71,triprotic,3,8,True,7.45,7.43,0.020000000000000462,1.286019238947881,0.2130048926488751,0.0
72,monoprotic,1,12,True,9.74,9.67,0.07000000000000028,0.3775687511620154,0.21568974582547007,0.7324283644891545
75,monoprotic,1,3,True,5.35,5.28,0.0699999999999994,1.2021912147078386,0.20058953559406434,0.7702706721118252
74,triprotic,3,6,True,7.49,7.41,0.08000000000000007,1.4984960030036385,0.15493829556878044,0.0
79,diprotic,2,1,True,3.48,3.56,0.08000000000000007,0.6548085903252314,0.20097250065967565,0.18810248002849253
76,diprotic,2,8,True,4.42,4.51,0.08999999999999986,0.34464984317959924,0.20967496387003248,0.4295156198279745
77,diprotic,2,5,True,3.7,3.8,0.09999999999999964,1.080053053112343,0.19178471782694717,0.31394502412662423
78,triprotic,3,4,True,2.27,2.36,0.08999999999999986,0.6534427630358288,0.09440049569588149,0.0
80,diprotic,2,6,True,5.13,5.2,0.07000000000000028,0.9204979509762243,0.21887563409891456,0.39265808415671244
82,diprotic,2,8,True,4.48,4.4,0.08000000000000007,0.38467443332060736,0.16493260567767143,0.6509562718483971
85,diprotic,2,7,True,10.91,10.93,0.019999999999999574,0.41071344784086783,0.215471140923738,0.31281236071004065
84,triprotic,3,7,True,9.52,9.57,0.05000000000000071,0.8812298472174386,0.2095330819245045,0.0
86,triprotic,3,4,True,4.81,4.89,0.08000000000000007,1.3273754651839562,0.1959534780936342,0.0
83,triprotic,3,8,True,10.85,10.75,0.09999999999999964,1.4590508127293873,0.2033627705706825,0.0
