experiment,acid_type,target_pH,final_pH,steps,overshoots,success
77,diprotic,3.8,3.7,29,0,True
78,triprotic,2.36,2.27,12,0,True
79,diprotic,3.56,3.48,20,0,True
80,diprotic,5.2,5.11,27,0,True
81,diprotic,7.98,10.63,50,35,False
82,diprotic,4.4,4.32,35,0,True
83,triprotic,10.75,10.71,20,2,True
84,triprotic,9.57,9.65,31,5,True
85,diprotic,10.93,10.89,9,0,True
86,triprotic,4.89,4.81,23,0,True
87,triprotic,10.53,10.48,22,4,True
88,diprotic,5.31,5.21,25,0,True
89,triprotic,10.22,10.62,50,29,False
90,monoprotic,8.96,4.69,50,32,False
91,monoprotic,8.78,8.77,43,32,True
92,diprotic,10.44,10.44,15,1,True
93,monoprotic,4.75,4.65,23,0,True
94,triprotic,3.94,3.87,26,0,True
95,diprotic,10.44,10.42,17,4,True
96,diprotic,3.17,3.09,23,0,True
97,diprotic,4.81,4.74,24,0,True
98,diprotic,8.75,8.78,23,3,True
99,triprotic,8.08,7.98,33,0,True
100,monoprotic,6.42,3.79,50,28,False
101,diprotic,4.28,4.19,26,0,True
102,triprotic,5.08,4.98,23,0,True
103,diprotic,3.3,3.21,17,0,True
104,monoprotic,6.17,4.56,50,28,False
105,triprotic,6.14,6.13,27,0,True
106,monoprotic,3.67,3.63,22,0,True
107,triprotic,5.89,5.79,32,0,True
108,diprotic,10.52,10.53,17,3,True
109,diprotic,8.47,5.99,50,36,False
110,triprotic,5.35,5.26,39,0,True
111,monoprotic,4.04,3.96,19,0,True
112,triprotic,10.15,10.07,23,0,True
113,diprotic,7.07,7.1,27,3,True
114,triprotic,8.52,8.56,34,1,True
115,diprotic,3.61,3.53,18,0,True
116,monoprotic,2.59,2.49,5,0,True
117,monoprotic,10.47,10.39,8,2,True
118,triprotic,4.5,4.42,37,0,True
119,triprotic,7.39,7.29,46,0,True
120,diprotic,4.19,4.2,20,1,True
121,monoprotic,8.07,5.56,50,42,False
122,monoprotic,4.17,4.09,19,0,True
123,monoprotic,5.89,10.02,50,27,False
124,triprotic,4.67,4.57,32,0,True
125,monoprotic,6.95,6.87,28,12,True
126,triprotic,5.58,5.48,26,0,True
127,diprotic,10.64,10.72,14,1,True
128,monoprotic,7.41,7.51,18,3,True
129,monoprotic,10.05,10.15,24,11,True
130,triprotic,3.4,3.31,20,0,True
131,monoprotic,3.78,3.68,17,0,True
132,triprotic,5.46,5.38,28,0,True
133,triprotic,8.39,8.47,35,1,True
134,diprotic,5.17,5.08,20,0,True
135,monoprotic,7.21,9.89,50,25,False
136,diprotic,4.84,4.79,19,0,True
137,triprotic,8.29,8.32,38,1,True
138,monoprotic,3.56,3.47,23,0,True
139,triprotic,10.95,10.95,18,1,True
140,monoprotic,5.54,5.55,20,3,True
141,diprotic,10.48,10.52,12,1,True
142,diprotic,2.47,2.38,25,0,True
143,diprotic,7.23,7.29,25,3,True
144,diprotic,10.62,10.6,13,4,True
145,monoprotic,2.07,2.16,7,0,True
146,diprotic,10.46,10.55,16,3,True
147,triprotic,7.75,7.66,40,0,True
148,monoprotic,4.89,4.93,16,1,True
149,triprotic,8.6,8.51,34,0,True
150,monoprotic,10.15,10.06,26,14,True
151,diprotic,7.66,7.67,48,21,True
152,triprotic,3.96,3.88,39,0,True
153,monoprotic,3.62,3.54,22,0,True
154,monoprotic,6.57,10.4,50,21,False
155,triprotic,6.85,6.76,37,0,True
156,diprotic,6.09,6.01,22,0,True
157,diprotic,10.25,10.3,17,3,True
158,diprotic,4.41,4.34,34,0,True
159,triprotic,8.49,8.14,50,20,False
160,triprotic,4.84,4.77,20,0,True
161,triprotic,9.42,10.68,50,27,False
162,monoprotic,6.44,4.76,50,20,False
163,triprotic,2.98,2.9,26,0,True
164,monoprotic,8.15,11.23,50,43,False
165,diprotic,3.35,3.28,30,0,True
166,triprotic,10.75,10.81,21,1,True
167,triprotic,2.43,2.37,1,0,True
168,monoprotic,2.99,2.93,1,1,True
169,monoprotic,2.43,2.39,1,0,True
170,diprotic,9.06,11.09,50,37,False
171,triprotic,2.25,2.17,20,0,True
172,triprotic,9.41,9.46,31,1,True
173,triprotic,4.41,4.34,24,0,True
174,monoprotic,10.94,10.99,11,1,True
175,diprotic,2.4,2.41,1,0,True
176,triprotic,10.68,10.76,20,1,True
177,triprotic,7.12,7.05,40,0,True
178,diprotic,5.63,5.53,29,0,True
179,triprotic,10.31,10.06,50,30,False
180,triprotic,2.34,2.32,1,0,True
181,diprotic,7.25,7.23,29,0,True
182,monoprotic,3.8,3.71,18,0,True
183,triprotic,10.11,10.01,34,10,True
184,triprotic,10.93,11.01,17,1,True
185,diprotic,7.17,7.08,29,0,True
186,monoprotic,2.92,2.86,1,0,True
187,monoprotic,4.87,4.8,5,0,True
188,diprotic,3.7,3.63,23,0,True
189,triprotic,9.81,8.72,50,30,False
190,diprotic,7.77,10.5,50,35,False
191,monoprotic,5.23,5.22,17,2,True
192,diprotic,4.32,4.25,24,0,True
193,monoprotic,2.41,2.49,3,0,True
194,diprotic,5.79,5.76,13,0,True
195,diprotic,6.42,5.7,50,18,False
196,triprotic,8.69,9.29,50,23,False
197,triprotic,2.66,2.57,5,0,True
198,triprotic,5.37,5.29,48,0,True
199,monoprotic,8.25,5.35,50,44,False
200,monoprotic,9.25,10.88,50,31,False
201,diprotic,3.92,3.84,31,0,True
202,triprotic,10.76,10.83,19,1,True
203,triprotic,6.48,6.49,28,1,True
204,diprotic,8.68,6.42,50,36,False
205,triprotic,5.29,5.19,31,0,True
206,monoprotic,10.61,10.52,46,42,True
207,monoprotic,2.48,2.57,1,0,True
208,triprotic,6.41,6.36,30,0,True
209,triprotic,2.94,2.85,17,0,True
210,monoprotic,6.83,9.63,50,37,False
211,monoprotic,10.21,10.27,15,5,True
212,monoprotic,10.12,10.13,27,13,True
213,diprotic,9.85,9.77,48,28,True
214,monoprotic,9.63,9.72,37,29,True
215,monoprotic,4.7,4.63,11,0,True
216,monoprotic,3.92,3.84,20,0,True
217,diprotic,4.64,4.56,16,2,True
218,triprotic,5.35,5.27,37,0,True
219,monoprotic,10.6,10.53,12,4,True
220,triprotic,4.05,3.96,36,0,True
221,triprotic,2.79,2.71,28,0,True
222,diprotic,6.8,6.85,27,1,True
223,diprotic,7.15,7.11,28,0,True
224,triprotic,5.87,5.85,36,0,True
225,triprotic,7.78,7.73,40,0,True
226,triprotic,7.69,7.61,47,0,True
227,triprotic,6.19,6.1,37,0,True
228,triprotic,5.66,5.58,39,0,True
229,monoprotic,9.52,9.51,17,10,True
230,monoprotic,10.31,10.24,38,20,True
231,monoprotic,3.86,3.93,21,1,True
232,monoprotic,9.82,9.84,19,9,True
233,diprotic,9.73,10.84,50,35,False
234,triprotic,4.21,4.11,29,0,True
235,monoprotic,10.72,10.8,9,1,True
236,triprotic,10.61,10.58,22,4,True
237,monoprotic,8.24,11.09,50,43,False
238,monoprotic,6.27,6.25,18,0,True
239,monoprotic,8.63,10.16,50,39,False
240,diprotic,5.43,5.44,13,1,True
241,monoprotic,2.06,2.14,8,0,True
242,diprotic,6.65,6.56,31,0,True
243,diprotic,4.21,4.13,26,0,True
244,triprotic,5.47,5.37,33,0,True
245,monoprotic,5.28,5.2,43,14,True
246,diprotic,10.99,11.05,13,1,True
247,diprotic,6.84,6.74,23,0,True
248,triprotic,8.39,8.45,34,1,True
249,monoprotic,7.32,7.26,17,6,True
250,monoprotic,10.39,10.48,15,5,True
251,diprotic,4.61,4.54,28,0,True
252,diprotic,4.39,4.3,30,0,True
253,triprotic,10.77,10.7,20,0,True
254,monoprotic,10.76,10.83,10,1,True
255,diprotic,2.7,2.61,19,0,True
256,triprotic,4.08,4.02,26,0,True
257,triprotic,6.32,6.27,29,0,True
258,diprotic,3.23,3.15,24,0,True
259,diprotic,9.8,10.96,50,37,False
260,diprotic,7.51,5.43,50,28,False
261,monoprotic,3.72,3.69,24,0,True
262,monoprotic,10.9,10.96,11,1,True
263,monoprotic,5.19,5.1,23,0,True
264,triprotic,3.52,3.43,25,0,True
265,monoprotic,3.18,3.09,25,0,True
266,triprotic,2.97,2.89,25,0,True
267,triprotic,9.53,8.29,50,28,False
268,diprotic,5.53,5.45,30,0,True
269,triprotic,9.45,8.34,50,26,False
270,monoprotic,7.89,10.74,50,43,False
271,triprotic,7.31,7.28,47,0,True
272,monoprotic,6.71,6.61,21,0,True
273,monoprotic,5.53,5.56,20,1,True
274,triprotic,3.6,3.52,25,0,True
275,triprotic,3.6,3.52,25,0,True
276,monoprotic,9.84,9.8,26,14,True
277,diprotic,3.96,3.87,24,0,True
278,diprotic,7.47,7.4,31,0,True
279,diprotic,6.63,6.66,29,1,True
280,monoprotic,7.81,6.01,50,30,False
281,triprotic,4.06,3.96,26,0,True
282,triprotic,8.61,8.57,34,0,True
283,diprotic,2.81,2.73,11,0,True
284,diprotic,7.43,7.51,27,5,True
285,diprotic,8.79,6.37,50,38,False
286,triprotic,5.33,5.24,41,0,True
287,diprotic,10.24,10.22,17,4,True
288,diprotic,4.1,4.0,34,0,True
289,triprotic,4.3,4.25,21,0,True
290,monoprotic,5.1,5.06,20,0,True
291,diprotic,5.98,5.9,33,0,True
292,diprotic,4.52,4.45,26,0,True
293,diprotic,3.9,3.83,34,0,True
294,diprotic,2.43,2.35,27,0,True
295,monoprotic,9.2,10.14,50,35,False
296,diprotic,3.72,3.64,25,0,True
297,monoprotic,2.69,2.6,24,0,True
298,monoprotic,7.62,11.17,50,45,False
299,diprotic,5.84,5.76,15,0,True
300,triprotic,4.09,4.0,24,0,True
301,monoprotic,5.78,3.97,50,20,False
302,monoprotic,6.78,10.05,50,33,False
303,triprotic,10.35,10.45,29,7,True
304,monoprotic,8.77,11.28,50,33,False
305,triprotic,4.56,4.47,38,0,True
306,triprotic,4.39,4.3,23,0,True
307,triprotic,6.32,6.23,42,0,True
308,monoprotic,7.08,4.85,50,28,False
